date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2015-02-23,EQ,246.05,249.95,235.15,247.0,243.0,242.75,244.26,249.95,235.15,7038,1719111.2,177,MOLDTKPAC
2015-02-24,EQ,245.0,247.9,231.1,242.75,243.0,243.1,244.13,249.95,231.1,13749,3356488.0,248,MOLDTKPAC
2015-02-25,EQ,245.0,245.0,231.2,243.1,233.15,233.35,237.22,249.95,231.1,6279,1489534.8,142,MOLDTKPAC
2015-02-26,EQ,232.0,233.15,222.0,233.35,222.55,223.05,226.68,249.95,222.0,5495,1245621.3,175,MOLDTKPAC
2015-02-27,EQ,233.8,240.0,224.0,223.05,225.0,225.85,231.09,249.95,222.0,39437,9113575.2,284,MOLDTKPAC
2015-02-28,EQ,225.85,238.0,220.1,225.85,225.0,225.3,225.44,249.95,220.1,12580,2836089.05,262,MOLDTKPAC
2015-03-02,EQ,229.9,230.0,221.25,225.3,225.0,225.35,226.61,249.95,220.1,12912,2926032.65,298,MOLDTKPAC
2015-03-03,EQ,222.0,229.95,222.0,225.35,225.5,226.4,227.09,249.95,220.1,14797,3360269.55,302,MOLDTKPAC
2015-03-04,EQ,222.1,234.7,222.1,226.4,226.5,225.3,227.69,249.95,220.1,24921,5674312.35,489,MOLDTKPAC
2015-03-05,EQ,229.5,229.5,222.0,225.3,224.0,224.65,225.09,249.95,220.1,21095,4748367.3,300,MOLDTKPAC
2015-03-09,EQ,229.0,229.0,222.0,224.65,222.15,225.7,224.86,249.95,220.1,15919,3579520.75,295,MOLDTKPAC
2015-03-10,EQ,225.7,226.5,220.05,225.7,225.0,224.8,224.91,249.95,220.05,15681,3526883.1,191,MOLDTKPAC
2015-03-11,EQ,224.8,228.85,216.0,224.8,217.0,219.1,224.09,249.95,216.0,38218,8564356.95,678,MOLDTKPAC
2015-03-12,EQ,219.5,248.9,219.5,219.1,238.0,238.0,238.77,249.95,216.0,87800,20964369.1,2145,MOLDTKPAC
2015-03-13,EQ,241.0,246.0,226.0,238.0,226.0,227.1,233.03,249.95,216.0,46677,10877033.55,1649,MOLDTKPAC
2015-03-16,EQ,223.15,232.9,218.0,227.1,218.0,220.1,221.37,249.95,216.0,19645,4348770.7,360,MOLDTKPAC
2015-03-17,EQ,216.5,227.0,216.0,220.1,216.5,217.5,220.23,249.95,216.0,25183,5546055.4,1026,MOLDTKPAC
2015-03-18,EQ,220.5,223.7,215.1,217.5,218.9,217.75,219.06,249.95,215.1,10535,2307819.2,327,MOLDTKPAC
2015-03-19,EQ,215.05,225.0,215.05,217.75,219.25,221.05,221.1,249.95,215.05,13538,2993300.2,438,MOLDTKPAC
