date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,48.0,50.2,47.6,46.5,50.2,50.2,49.16,49.9,7.5,800,39330.0,0,MURUDCERA
2000-01-04,EQ,49.1,54.2,48.0,50.2,51.5,51.5,49.92,50.2,7.5,7900,394350.0,0,MURUDCERA
2000-01-05,EQ,50.0,55.0,50.0,51.5,53.0,52.95,52.54,54.2,7.5,2600,136595.0,0,MURUDCERA
2000-01-06,EQ,52.0,52.0,50.0,52.95,51.1,51.1,51.47,55.0,7.5,2500,128670.0,0,MURUDCERA
2000-01-07,EQ,54.0,54.0,50.0,51.1,53.8,53.4,50.88,55.0,7.5,3100,157740.0,0,MURUDCERA
2000-01-10,EQ,54.1,54.1,51.0,53.4,54.1,54.05,52.84,55.0,7.5,3800,200790.0,0,MURUDCERA
2000-01-11,EQ,53.1,53.1,50.05,54.05,51.0,51.0,50.58,55.0,7.5,3300,166910.0,0,MURUDCERA
2000-01-13,EQ,49.0,49.0,48.2,51.0,49.0,49.0,48.83,55.0,7.5,900,43950.0,0,MURUDCERA
2000-01-14,EQ,46.05,49.3,46.05,49.0,49.3,49.3,47.68,55.0,7.5,200,9535.0,0,MURUDCERA
2000-01-17,EQ,46.6,46.6,45.9,49.3,45.9,45.9,46.25,55.0,7.5,200,9250.0,0,MURUDCERA
2000-01-18,EQ,46.0,46.0,46.0,45.9,46.0,46.0,46.0,55.0,7.5,100,4600.0,0,MURUDCERA
2000-01-19,EQ,49.0,49.0,45.25,46.0,45.25,45.25,46.5,55.0,7.5,300,13950.0,0,MURUDCERA
2000-01-20,EQ,46.0,46.5,46.0,45.25,46.0,46.0,46.17,55.0,7.5,300,13850.0,0,MURUDCERA
2000-01-27,EQ,43.2,43.2,43.0,46.0,43.0,43.0,43.07,55.0,7.5,600,25840.0,0,MURUDCERA
2000-02-01,EQ,43.0,43.5,39.6,43.0,40.0,40.0,41.82,55.0,12.5,500,20910.0,0,MURUDCERA
2000-02-02,EQ,39.5,39.7,36.8,40.0,38.0,38.0,39.21,55.0,12.5,1400,54900.0,0,MURUDCERA
2000-02-03,EQ,36.05,36.05,36.05,38.0,36.05,36.05,36.05,55.0,12.5,100,3605.0,0,MURUDCERA
2000-02-04,EQ,37.0,37.0,33.5,36.05,35.2,35.2,34.67,55.0,12.5,500,17335.0,0,MURUDCERA
2000-02-07,EQ,33.05,35.05,33.05,35.2,35.05,35.05,34.05,55.0,12.5,200,6810.0,0,MURUDCERA
2000-02-08,EQ,35.0,35.0,34.0,35.05,34.0,34.0,34.4,55.0,12.5,500,17200.0,0,MURUDCERA
2000-02-10,EQ,33.0,33.0,33.0,34.0,33.0,33.0,33.0,55.0,12.5,100,3300.0,0,MURUDCERA
