date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2017-11-06,EQ,295.9,299.0,278.0,252.0,284.5,284.4,289.5,299.0,278.0,43029311,12457041238.05,647948,RNAM
2017-11-07,EQ,287.7,291.0,282.0,284.4,285.6,287.8,287.61,299.0,278.0,5980837,1720143479.55,89592,RNAM
2017-11-08,EQ,287.0,289.0,284.95,287.8,285.4,285.3,286.2,299.0,278.0,1885677,539677675.7,32048,RNAM
2017-11-09,EQ,285.9,288.0,285.0,285.3,286.85,287.2,286.54,299.0,278.0,1476764,423148694.55,18076,RNAM
2017-11-10,EQ,285.15,287.2,281.3,287.2,285.5,285.2,284.86,299.0,278.0,905132,257838519.15,15049,RNAM
2017-11-13,EQ,283.2,288.0,283.2,285.2,286.1,287.2,286.06,299.0,278.0,2141637,612626275.9,25427,RNAM
2017-11-14,EQ,288.95,288.95,267.9,287.2,274.0,273.35,275.57,299.0,267.9,1306130,359931658.7,22093,RNAM
2017-11-15,EQ,271.05,276.5,248.1,273.35,257.0,253.5,256.46,299.0,248.1,2250713,577216828.8,40747,RNAM
2017-11-16,EQ,255.0,278.6,237.5,253.5,271.95,272.15,261.82,299.0,237.5,4154606,1087756031.6,83546,RNAM
2017-11-17,EQ,274.0,284.0,265.5,272.15,278.0,279.0,274.3,299.0,237.5,1247735,342249158.4,17858,RNAM
2017-11-20,EQ,278.75,280.9,271.0,279.0,279.05,278.95,276.68,299.0,237.5,554463,153406582.65,17927,RNAM
2017-11-21,EQ,276.8,280.0,272.0,278.95,272.0,272.15,275.41,299.0,237.5,366109,100831817.7,8489,RNAM
2017-11-22,EQ,274.9,276.35,267.0,272.15,270.0,269.8,272.18,299.0,237.5,925427,251878634.3,5972,RNAM
2017-11-23,EQ,274.0,274.0,267.95,269.8,271.95,271.2,270.8,299.0,237.5,355274,96206587.2,18063,RNAM
2017-11-24,EQ,273.9,273.9,270.1,271.2,272.6,271.75,271.85,299.0,237.5,301275,81901893.4,15870,RNAM
2017-11-27,EQ,270.0,273.0,267.8,271.75,272.4,272.15,271.8,299.0,237.5,559725,152131261.3,20176,RNAM
2017-11-28,EQ,270.5,271.9,267.0,272.15,267.3,268.0,269.09,299.0,237.5,210880,56745973.8,6969,RNAM
2017-11-29,EQ,268.0,269.55,260.0,268.0,261.0,261.85,263.11,299.0,237.5,398140,104753564.4,12097,RNAM
2017-11-30,EQ,261.9,266.2,252.7,261.85,264.9,263.5,258.84,299.0,237.5,432489,111944150.35,13354,RNAM
2017-12-01,EQ,261.15,266.85,258.1,263.5,258.5,259.7,261.86,299.0,237.5,337914,88487181.0,19999,RNAM
2017-12-04,EQ,260.9,262.45,254.2,259.7,254.8,255.05,256.17,299.0,237.5,1774394,454548027.35,15998,RNAM
2017-12-05,EQ,253.3,262.9,253.3,255.05,260.0,261.1,260.18,299.0,237.5,1104003,287236041.9,5841,RNAM
2017-12-06,EQ,258.6,260.55,254.6,261.1,254.9,255.05,259.61,299.0,237.5,669659,173851591.45,5521,RNAM
2017-12-07,EQ,255.9,259.9,252.0,255.05,252.0,252.3,254.68,299.0,237.5,212652,54157167.45,6826,RNAM
2017-12-08,EQ,252.55,256.35,252.0,252.3,252.35,252.45,255.02,299.0,237.5,391545,99850622.95,6901,RNAM
2017-12-11,EQ,253.05,254.35,252.0,252.45,252.4,252.55,252.41,299.0,237.5,1422111,358954497.65,5845,RNAM
2017-12-12,EQ,252.8,255.0,251.95,252.55,252.65,252.8,253.21,299.0,237.5,771170,195264841.7,7684,RNAM
2017-12-13,EQ,253.0,253.0,250.55,252.8,251.5,251.6,252.11,299.0,237.5,191972,48397798.8,8085,RNAM
2017-12-14,EQ,252.8,252.9,248.4,251.6,248.5,250.75,250.94,299.0,237.5,274737,68942372.4,16892,RNAM
2017-12-15,EQ,251.15,253.9,248.0,250.75,253.05,253.0,252.07,299.0,237.5,497089,125303066.5,29619,RNAM
2017-12-18,EQ,253.9,264.0,251.05,253.0,261.95,260.1,257.89,299.0,237.5,1628941,420095376.4,29532,RNAM
2017-12-19,EQ,260.85,275.55,257.3,260.1,269.0,270.2,266.74,299.0,237.5,529940,141358210.45,17144,RNAM
2017-12-20,EQ,270.4,281.75,266.25,270.2,273.2,274.8,274.16,299.0,237.5,620156,170021854.2,9359,RNAM
2017-12-21,EQ,280.0,287.9,276.3,274.8,283.5,281.25,280.8,299.0,237.5,1214297,340969086.75,28876,RNAM
