date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2006-11-30,EQ,456.7,575.65,456.7,300.0,524.8,526.4,544.84,575.65,456.7,47828017,26058440441.45,0,PARSVNATH
2006-12-01,EQ,548.0,548.0,506.15,526.4,508.8,510.65,521.66,575.65,456.7,9475815,4943193093.9,0,PARSVNATH
2006-12-04,EQ,512.8,517.0,480.05,510.65,494.0,495.4,497.24,575.65,456.7,12087484,6010423360.2,0,PARSVNATH
2006-12-05,EQ,508.9,525.0,496.0,495.4,524.0,522.05,515.55,575.65,456.7,10636317,5483593120.7,0,PARSVNATH
2006-12-06,EQ,525.0,545.4,518.15,522.05,519.35,520.95,531.66,575.65,456.7,9342990,4967260228.0,0,PARSVNATH
2006-12-07,EQ,520.4,524.0,514.0,520.95,517.8,518.45,518.59,575.65,456.7,3432183,1779895167.4,0,PARSVNATH
2006-12-08,EQ,518.45,521.0,499.0,518.45,500.1,502.35,509.33,575.65,456.7,3896819,1984750619.05,0,PARSVNATH
2006-12-11,EQ,511.0,511.0,466.35,502.35,467.1,473.4,483.66,575.65,456.7,3343147,1616947983.6,0,PARSVNATH
2006-12-12,EQ,469.0,478.5,389.0,473.4,426.1,419.65,436.38,575.65,389.0,6320293,2758052390.45,0,PARSVNATH
2006-12-13,EQ,427.0,451.5,406.1,419.65,450.0,444.65,429.65,575.65,389.0,6335196,2721903461.15,0,PARSVNATH
2006-12-14,EQ,454.7,472.8,448.0,444.65,472.0,468.95,460.97,575.65,389.0,5254386,2422105772.15,0,PARSVNATH
2006-12-15,EQ,475.0,476.85,458.55,468.95,459.0,460.9,467.61,575.65,389.0,3559486,1664459796.35,0,PARSVNATH
2006-12-18,EQ,461.5,462.8,439.5,460.9,444.0,444.65,447.06,575.65,389.0,3369214,1506243482.1,0,PARSVNATH
2006-12-19,EQ,444.0,459.4,433.15,444.65,434.8,437.5,446.33,575.65,389.0,3840635,1714190815.5,0,PARSVNATH
2006-12-20,EQ,441.0,449.9,418.5,437.5,420.15,424.25,434.81,575.65,389.0,3272229,1422799159.25,0,PARSVNATH
2006-12-21,EQ,424.55,430.75,415.15,424.25,424.55,423.85,423.96,575.65,389.0,2896583,1228043767.95,0,PARSVNATH
2006-12-22,EQ,424.05,439.9,423.3,423.85,435.75,437.7,433.06,575.65,389.0,2442164,1057607065.35,0,PARSVNATH
2006-12-26,EQ,438.0,439.9,431.1,437.7,433.5,433.4,435.08,575.65,389.0,1488415,647575393.35,0,PARSVNATH
2006-12-27,EQ,438.0,438.9,428.0,433.4,429.0,431.15,434.9,575.65,389.0,1001992,435762746.7,0,PARSVNATH
2006-12-28,EQ,422.0,444.0,422.0,431.15,441.75,436.15,430.53,575.65,389.0,2889945,1244207178.05,0,PARSVNATH
2006-12-29,EQ,448.85,463.7,441.6,436.15,461.5,459.15,452.65,575.65,389.0,3832887,1734947927.75,0,PARSVNATH
2007-01-02,EQ,462.0,470.0,457.5,459.15,462.0,462.85,464.88,575.65,389.0,1781389,828131872.6,0,PARSVNATH
2007-01-03,EQ,462.0,475.0,445.8,462.85,468.5,468.45,467.93,575.65,389.0,2557365,1196680149.55,0,PARSVNATH
2007-01-04,EQ,472.85,473.8,453.2,468.45,454.9,456.4,461.66,575.65,389.0,1622547,749072377.65,0,PARSVNATH
2007-01-05,EQ,456.0,462.0,444.3,456.4,447.0,446.8,452.89,575.65,389.0,1687423,764219087.6,0,PARSVNATH
2007-01-08,EQ,445.9,445.9,434.6,446.8,438.5,440.8,439.92,575.65,389.0,1411922,621127020.7,0,PARSVNATH
2007-01-09,EQ,434.4,448.9,430.2,440.8,432.5,432.75,437.88,575.65,389.0,1098902,481185300.8,0,PARSVNATH
2007-01-10,EQ,432.0,434.0,415.0,432.75,415.5,417.6,424.1,575.65,389.0,1105072,468658843.25,0,PARSVNATH
2007-01-11,EQ,418.0,425.0,413.5,417.6,423.9,423.7,420.39,575.65,389.0,1351477,568141180.25,0,PARSVNATH
2007-01-12,EQ,427.0,432.0,418.2,423.7,420.3,420.2,425.03,575.65,389.0,872130,370679857.65,0,PARSVNATH
2007-01-15,EQ,424.0,431.75,421.05,420.2,422.0,422.85,426.92,575.65,389.0,1014910,433283624.7,0,PARSVNATH
2007-01-16,EQ,424.95,427.0,418.25,422.85,420.4,420.45,422.68,575.65,389.0,594742,251385468.8,0,PARSVNATH
2007-01-17,EQ,421.0,429.5,420.0,420.45,422.3,423.1,424.59,575.65,389.0,907314,385232422.7,0,PARSVNATH
2007-01-18,EQ,424.0,435.7,423.65,423.1,425.0,425.6,429.69,575.65,389.0,1699131,730107554.1,0,PARSVNATH
2007-01-19,EQ,428.9,429.4,420.1,425.6,423.45,423.75,423.69,575.65,389.0,694156,294104952.45,0,PARSVNATH
2007-01-22,EQ,425.1,428.0,415.0,423.75,415.5,417.45,420.49,575.65,389.0,709437,298308453.3,0,PARSVNATH
2007-01-23,EQ,416.0,421.65,405.05,417.45,405.65,407.6,413.52,575.65,389.0,802313,331776230.15,0,PARSVNATH
2007-01-24,EQ,411.0,422.45,408.45,407.6,419.5,418.6,418.64,575.65,389.0,1411563,590936265.1,0,PARSVNATH
2007-01-25,EQ,420.0,424.4,415.05,418.6,418.05,419.3,419.1,575.65,389.0,1124868,471429257.1,0,PARSVNATH
2007-01-29,EQ,420.0,422.0,406.8,419.3,408.3,408.6,412.64,575.65,389.0,659751,272241757.65,0,PARSVNATH
2007-01-31,EQ,411.0,414.5,392.4,408.6,396.95,397.2,403.06,575.65,389.0,1379645,556085796.5,0,PARSVNATH
2007-02-01,EQ,399.4,403.0,386.0,397.2,392.5,392.5,392.63,575.65,386.0,1022272,401370721.15,0,PARSVNATH
2007-02-02,EQ,394.7,406.7,394.05,392.5,402.65,403.95,402.78,575.65,386.0,1333830,537239173.2,0,PARSVNATH
2007-02-05,EQ,408.9,408.9,394.0,403.95,394.2,395.7,400.19,575.65,386.0,889424,355937442.75,0,PARSVNATH
2007-02-06,EQ,396.1,397.4,385.0,395.7,385.1,386.4,389.16,575.65,385.0,897495,349266449.15,0,PARSVNATH
2007-02-07,EQ,388.0,389.8,365.9,386.4,367.8,368.4,374.77,575.65,365.9,1861206,697529073.1,0,PARSVNATH
2007-02-08,EQ,369.95,376.7,358.0,368.4,359.7,360.5,366.33,575.65,358.0,1389176,508894889.3,0,PARSVNATH
2007-02-09,EQ,352.2,364.8,336.55,360.5,339.0,338.8,348.27,575.65,336.55,1991180,693462104.95,0,PARSVNATH
2007-02-12,EQ,340.0,340.55,300.0,338.8,301.15,301.55,310.14,575.65,300.0,3071655,952648849.4,0,PARSVNATH
2007-02-13,EQ,302.0,314.0,289.0,301.55,300.0,297.55,301.88,575.65,289.0,3948958,1192103976.9,0,PARSVNATH
2007-02-14,EQ,285.0,298.7,278.0,297.55,297.9,294.3,288.9,575.65,278.0,1800922,520293497.75,0,PARSVNATH
2007-02-15,EQ,300.9,326.4,299.0,294.3,320.0,321.85,314.64,575.65,278.0,2203453,693302553.9,0,PARSVNATH
2007-02-19,EQ,324.0,336.9,318.15,321.85,326.9,329.95,327.24,575.65,278.0,2383735,780059138.2,0,PARSVNATH
2007-02-20,EQ,327.5,331.25,311.55,329.95,312.9,314.0,319.28,575.65,278.0,1524542,486753103.6,0,PARSVNATH
2007-02-21,EQ,314.0,314.0,304.2,314.0,307.7,308.7,308.94,575.65,278.0,1370488,423395216.25,0,PARSVNATH
2007-02-22,EQ,308.0,309.0,294.8,308.7,297.55,297.2,301.27,575.65,278.0,1928462,580997261.9,0,PARSVNATH
2007-02-23,EQ,296.0,300.0,282.0,297.2,285.55,285.85,288.7,575.65,278.0,1773454,512001674.1,0,PARSVNATH
2007-02-26,EQ,286.0,293.4,284.0,285.85,291.0,290.15,289.05,575.65,278.0,1069179,309047151.85,0,PARSVNATH
2007-02-27,EQ,293.0,305.5,287.95,290.15,293.0,296.5,298.98,575.65,278.0,1967679,588297065.25,0,PARSVNATH
2007-02-28,EQ,262.1,294.8,262.1,296.5,277.7,279.75,284.65,575.65,262.1,1792413,510213900.4,0,PARSVNATH
2007-03-01,EQ,278.25,287.0,266.65,279.75,275.4,276.3,274.91,575.65,262.1,1540993,423633888.45,0,PARSVNATH
2007-03-02,EQ,279.0,282.25,267.0,276.3,267.9,269.75,275.05,575.65,262.1,1128377,310358926.8,0,PARSVNATH
2007-03-05,EQ,265.0,265.0,248.05,269.75,248.5,250.75,255.28,575.65,248.05,1123216,286732383.85,0,PARSVNATH
2007-03-06,EQ,283.4,283.4,238.6,250.75,243.0,241.65,247.26,575.65,238.6,1869835,462331478.9,0,PARSVNATH
2007-03-07,EQ,254.0,254.0,221.1,241.65,225.25,226.25,233.27,575.65,221.1,2097239,489229089.8,0,PARSVNATH
2007-03-08,EQ,228.0,244.5,227.15,226.25,243.8,242.5,235.95,575.65,221.1,2138569,504592140.35,0,PARSVNATH
2007-03-09,EQ,243.0,248.9,230.0,242.5,235.05,236.85,237.18,575.65,221.1,1667552,395518244.0,0,PARSVNATH
2007-03-12,EQ,236.0,247.6,235.35,236.85,245.1,243.95,243.15,575.65,221.1,1423615,346151790.4,0,PARSVNATH
2007-03-13,EQ,244.85,290.0,242.15,243.95,285.4,284.75,269.61,575.65,221.1,6053327,1632064631.6,0,PARSVNATH
2007-03-14,EQ,265.25,299.6,262.15,284.75,277.0,278.5,286.55,575.65,221.1,10480481,3003224599.1,0,PARSVNATH
2007-03-15,EQ,280.2,294.9,272.1,278.5,275.7,275.95,285.83,575.65,221.1,3958702,1131507739.75,0,PARSVNATH
2007-03-16,EQ,275.95,281.7,265.15,275.95,271.5,271.65,272.1,575.65,221.1,3000527,816438927.2,0,PARSVNATH
2007-03-19,EQ,274.0,282.5,271.35,271.65,277.0,276.65,277.81,575.65,221.1,2146466,596309613.05,0,PARSVNATH
2007-03-20,EQ,277.05,283.0,274.1,276.65,275.0,276.2,279.45,575.65,221.1,1308348,365619349.25,0,PARSVNATH
2007-03-21,EQ,278.8,279.4,274.2,276.2,276.05,276.05,276.46,575.65,221.1,936534,258915859.7,0,PARSVNATH
2007-03-22,EQ,280.0,286.95,278.5,276.05,281.5,282.1,282.64,575.65,221.1,1532223,433060089.45,0,PARSVNATH
2007-03-23,EQ,280.0,285.0,274.8,282.1,274.8,275.65,277.58,575.65,221.1,887211,246276454.7,0,PARSVNATH
2007-03-26,EQ,278.85,278.85,264.1,275.65,264.2,265.35,268.28,575.65,221.1,904063,242539727.1,0,PARSVNATH
2007-03-28,EQ,264.0,264.0,251.5,265.35,252.95,253.9,255.12,575.65,221.1,1201437,306509934.25,0,PARSVNATH
2007-03-29,EQ,252.9,264.5,251.1,253.9,264.2,262.05,257.83,575.65,221.1,1767507,455724818.1,0,PARSVNATH
2007-03-30,EQ,265.0,270.95,257.6,262.05,257.6,259.0,265.11,575.65,221.1,1508541,399932451.25,0,PARSVNATH
2007-04-02,EQ,245.0,252.0,239.0,259.0,241.0,241.05,243.5,575.65,221.1,1062861,258803152.75,0,PARSVNATH
2007-04-03,EQ,241.0,246.0,235.05,241.05,240.65,239.8,239.38,575.65,221.1,1233403,295247627.2,0,PARSVNATH
2007-04-04,EQ,243.0,247.3,240.0,239.8,240.3,241.95,243.58,575.65,221.1,733013,178546117.25,0,PARSVNATH
