date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,21.5,23.5,21.5,21.75,22.15,22.15,22.81,35.65,11.5,3500,79845.0,0,PRECWIRE
2000-01-04,EQ,22.5,22.5,20.5,22.15,20.5,20.5,21.28,35.65,12.0,7600,161745.0,0,PRECWIRE
2000-01-05,EQ,21.0,21.0,20.0,20.5,21.0,20.95,20.89,35.65,12.0,7800,162910.0,0,PRECWIRE
2000-01-06,EQ,20.5,21.0,20.0,20.95,20.5,20.7,20.69,35.65,12.0,9100,188255.0,0,PRECWIRE
2000-01-07,EQ,20.75,21.5,20.1,20.7,21.0,21.0,20.9,35.65,12.0,5100,106580.0,0,PRECWIRE
2000-01-10,EQ,20.05,21.2,20.05,21.0,20.35,20.65,20.66,35.65,12.0,3300,68165.0,0,PRECWIRE
2000-01-11,EQ,20.25,20.25,19.6,20.65,19.6,19.6,19.98,35.65,12.0,4600,91905.0,0,PRECWIRE
2000-01-12,EQ,19.6,20.0,19.6,19.6,20.0,20.0,19.94,35.65,12.0,700,13960.0,0,PRECWIRE
2000-01-13,EQ,19.9,20.2,19.9,20.0,20.0,20.1,20.06,35.65,12.0,700,14045.0,0,PRECWIRE
2000-01-14,EQ,20.35,20.35,19.9,20.1,19.9,19.9,20.04,35.65,12.0,700,14030.0,0,PRECWIRE
2000-01-17,EQ,19.85,20.4,19.55,19.9,20.4,20.3,20.05,35.65,12.0,1900,38100.0,0,PRECWIRE
2000-01-18,EQ,20.4,20.75,19.85,20.3,20.5,20.5,20.25,35.65,12.0,2700,54680.0,0,PRECWIRE
2000-01-19,EQ,20.1,20.1,20.0,20.5,20.0,20.0,20.02,35.65,12.0,1300,26020.0,0,PRECWIRE
2000-01-20,EQ,20.55,21.5,20.55,20.0,20.75,20.75,20.99,35.65,12.0,3000,62975.0,0,PRECWIRE
2000-01-21,EQ,21.45,21.95,20.8,20.75,21.95,21.8,21.34,35.65,12.0,1400,29875.0,0,PRECWIRE
2000-01-24,EQ,21.65,22.7,21.65,21.8,22.2,22.2,22.24,35.65,12.0,2500,55605.0,0,PRECWIRE
2000-01-25,EQ,23.9,23.95,22.05,22.2,23.15,23.15,23.59,35.65,12.1,2200,51890.0,0,PRECWIRE
2000-01-27,EQ,24.9,25.0,24.45,23.15,25.0,25.0,24.92,35.65,12.1,3600,89710.0,0,PRECWIRE
2000-01-28,EQ,26.85,27.0,23.75,25.0,25.0,25.25,26.39,35.65,12.1,11900,314090.0,0,PRECWIRE
2000-01-31,EQ,24.5,25.5,24.0,25.25,25.35,25.25,25.04,35.65,12.1,5500,137730.0,0,PRECWIRE
