date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2017-02-27,EQ,95.0,95.0,87.65,93.9,91.2,90.9,91.46,113.8,87.0,375044,34302057.4,2388,PRICOLLTD
2017-02-28,EQ,91.5,92.0,87.4,90.9,88.0,87.7,88.67,113.8,87.0,247698,21964476.35,1621,PRICOLLTD
2017-03-01,EQ,89.0,91.5,88.5,87.7,89.35,89.45,90.18,113.8,87.0,321772,29018191.5,2243,PRICOLLTD
2017-03-02,EQ,89.95,89.95,86.05,89.45,87.0,86.75,87.89,113.8,86.05,255212,22430676.25,1665,PRICOLLTD
2017-03-03,EQ,86.5,87.7,82.25,86.75,84.0,84.2,85.15,113.8,82.25,248256,21138752.95,2101,PRICOLLTD
2017-03-06,EQ,85.3,86.25,83.35,84.2,84.65,84.25,84.7,113.8,82.25,166796,14128335.0,1965,PRICOLLTD
2017-03-07,EQ,84.5,85.5,81.6,84.25,85.0,84.25,83.13,113.8,81.6,220519,18331467.25,1792,PRICOLLTD
2017-03-08,EQ,84.25,85.0,80.1,84.25,81.5,81.0,81.82,113.8,80.1,286522,23442631.0,1782,PRICOLLTD
2017-03-09,EQ,80.1,82.8,80.05,81.0,81.4,81.25,81.49,113.8,80.05,171526,13978345.25,1089,PRICOLLTD
2017-03-10,EQ,82.4,82.4,77.0,81.25,77.9,77.75,78.49,113.8,77.0,401364,31503778.6,2772,PRICOLLTD
2017-03-14,EQ,78.5,82.4,78.2,77.75,78.4,78.75,79.66,113.8,77.0,244647,19489419.2,2055,PRICOLLTD
2017-03-15,EQ,79.0,80.9,79.0,78.75,80.75,80.6,80.07,113.8,77.0,133863,10718571.2,1019,PRICOLLTD
2017-03-16,EQ,80.6,86.4,80.6,80.6,86.0,85.75,84.38,113.8,77.0,359629,30346268.45,3078,PRICOLLTD
2017-03-17,EQ,85.25,87.3,82.15,85.75,83.45,83.35,84.76,113.8,77.0,216907,18384554.3,2224,PRICOLLTD
2017-03-20,EQ,83.95,86.9,83.0,83.35,85.25,85.05,84.92,113.8,77.0,298798,25372614.7,1775,PRICOLLTD
2017-03-21,EQ,85.1,86.25,83.5,85.05,84.8,84.45,84.85,113.8,77.0,313313,26583520.7,993,PRICOLLTD
2017-03-22,EQ,84.05,84.05,82.2,84.45,82.85,83.35,83.21,113.8,77.0,101426,8439665.6,727,PRICOLLTD
2017-03-23,EQ,82.0,84.5,82.0,83.35,83.1,83.2,83.64,113.8,77.0,144884,12118197.1,803,PRICOLLTD
2017-03-24,EQ,83.2,84.2,81.4,83.2,81.75,81.95,82.4,113.8,77.0,176061,14508240.35,1378,PRICOLLTD
2017-03-27,EQ,82.0,82.25,80.0,81.95,80.05,80.2,80.69,113.8,77.0,134142,10823722.05,1241,PRICOLLTD
2017-03-28,EQ,81.5,83.45,80.6,80.2,81.8,81.45,81.89,113.8,77.0,115558,9462987.15,848,PRICOLLTD
2017-03-29,EQ,81.95,81.95,77.75,81.45,77.75,78.25,79.18,113.8,77.0,337761,26744046.6,2054,PRICOLLTD
2017-03-30,EQ,79.0,80.45,78.95,78.25,79.25,79.1,79.64,113.8,77.0,214685,17097863.9,1607,PRICOLLTD
2017-03-31,EQ,79.7,80.5,78.25,79.1,79.0,79.05,79.08,113.8,77.0,267799,21176433.45,1821,PRICOLLTD
2017-04-03,EQ,79.2,87.5,79.2,79.05,86.45,86.45,84.7,113.8,77.0,553161,46852333.15,4006,PRICOLLTD
2017-04-05,EQ,87.0,91.9,87.0,86.45,90.5,90.8,90.35,113.8,77.0,623384,56325740.7,4734,PRICOLLTD
2017-04-06,EQ,90.0,91.25,88.5,90.8,88.7,89.4,89.61,113.8,77.0,205059,18375463.95,1727,PRICOLLTD
2017-04-07,EQ,88.95,93.0,88.5,89.4,90.7,90.55,91.65,113.8,77.0,351832,32246013.0,2642,PRICOLLTD
2017-04-10,EQ,91.5,92.5,87.9,90.55,90.4,89.05,90.41,113.8,77.0,256950,23229870.95,1678,PRICOLLTD
2017-04-11,EQ,89.75,89.75,88.15,89.05,88.15,88.3,88.65,113.8,77.0,159715,14158151.15,1549,PRICOLLTD
2017-04-12,EQ,88.5,88.85,86.35,88.3,87.3,87.4,87.51,113.8,77.0,176261,15423806.05,1502,PRICOLLTD
2017-04-13,EQ,87.5,90.5,87.0,87.4,89.6,89.55,89.15,113.8,77.0,225880,20136706.15,1545,PRICOLLTD
2017-04-17,EQ,89.1,91.75,88.0,89.55,91.05,91.3,90.23,113.8,77.0,258155,23292419.9,1382,PRICOLLTD
2017-04-18,EQ,93.45,94.5,87.15,91.3,87.4,87.5,91.02,113.8,77.0,679276,61828606.05,9537,PRICOLLTD
2017-04-19,EQ,87.5,89.0,87.0,87.5,87.65,87.75,87.85,113.8,77.0,85741,7532298.85,831,PRICOLLTD
2017-04-20,EQ,88.35,90.6,88.15,87.75,89.0,89.05,89.13,113.8,77.0,120105,10704370.65,1100,PRICOLLTD
2017-04-21,EQ,89.3,89.85,87.5,89.05,88.25,88.0,88.58,113.8,77.0,121802,10789117.8,993,PRICOLLTD
2017-04-24,EQ,88.0,89.0,87.0,88.0,89.0,88.15,87.86,113.8,77.0,216864,19053642.0,1535,PRICOLLTD
2017-04-25,EQ,88.5,90.75,87.0,88.15,87.3,87.35,88.42,113.8,77.0,245958,21747138.1,1567,PRICOLLTD
2017-04-26,EQ,88.1,88.1,85.4,87.35,85.6,85.8,86.24,113.8,77.0,215121,18552145.35,1323,PRICOLLTD
