date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-07-08,EQ,91.55,91.7,91.0,89.44,91.6,91.55,91.55,91.7,91.0,2371286,217099060.22,461,SBISILVER
2024-07-09,EQ,93.19,93.19,90.1,91.55,91.78,91.7,91.64,93.19,90.1,7780662,713041365.79,1298,SBISILVER
2024-07-10,EQ,91.7,93.01,91.08,91.7,92.0,92.0,91.65,93.19,90.1,1775642,162737853.07,1004,SBISILVER
2024-07-11,EQ,92.16,92.75,91.63,92.0,92.01,92.47,92.34,93.19,90.1,318887,29445092.83,576,SBISILVER
2024-07-12,EQ,92.47,93.28,91.75,92.47,92.24,92.26,92.22,93.28,90.1,432006,39839636.69,768,SBISILVER
2024-07-15,EQ,92.26,92.75,91.53,92.26,91.71,91.9,91.88,93.28,90.1,154800,14222698.05,486,SBISILVER
2024-07-16,EQ,92.26,92.78,91.35,91.9,91.98,91.79,91.69,93.28,90.1,221628,20320325.83,340,SBISILVER
2024-07-18,EQ,91.79,91.98,91.03,91.79,91.5,91.52,91.25,93.28,90.1,124556,11365799.26,262,SBISILVER
2024-07-19,EQ,91.95,91.95,89.0,91.52,89.3,89.2,89.54,93.28,89.0,36299,3250142.13,574,SBISILVER
2024-07-22,EQ,89.67,89.67,88.4,89.2,88.5,88.68,88.7,93.28,88.4,229306,20339813.8,577,SBISILVER
2024-07-23,EQ,88.98,88.98,85.99,88.68,85.99,86.62,87.08,93.28,85.99,190802,16614984.81,1033,SBISILVER
2024-07-24,EQ,87.0,89.2,85.12,86.62,85.2,85.37,85.88,93.28,85.12,189470,16270767.88,826,SBISILVER
2024-07-25,EQ,85.3,85.3,81.7,85.37,83.59,82.27,82.31,93.28,81.7,213295,17557327.96,1378,SBISILVER
2024-07-26,EQ,82.27,82.79,81.03,82.27,82.28,81.84,81.77,93.28,81.03,104813,8570625.39,889,SBISILVER
2024-07-29,EQ,84.3,84.3,80.99,81.84,82.3,82.17,82.0,93.28,80.99,193021,15827878.03,614,SBISILVER
2024-07-30,EQ,82.17,82.17,80.27,82.17,81.41,81.02,81.17,93.28,80.27,242406,19676402.41,775,SBISILVER
2024-07-31,EQ,82.48,83.8,81.76,81.02,83.27,82.79,82.73,93.28,80.27,542620,44889232.15,5468,SBISILVER
2024-08-01,EQ,83.31,84.08,83.3,82.79,83.99,83.98,83.92,93.28,80.27,46624,3912596.02,306,SBISILVER
2024-08-02,EQ,83.3,83.9,83.2,83.98,83.9,83.8,83.71,93.28,80.27,18916,1583407.79,214,SBISILVER
2024-08-05,EQ,83.78,83.78,80.99,83.8,81.5,81.31,81.56,93.28,80.27,135076,11016680.88,700,SBISILVER
2024-08-06,EQ,81.28,82.08,79.07,81.31,79.7,79.7,79.79,93.28,79.07,203528,16240007.34,1188,SBISILVER
2024-08-07,EQ,79.7,80.7,79.59,79.7,80.5,80.45,80.4,93.28,79.07,178733,14370067.38,678,SBISILVER
2024-08-08,EQ,80.9,81.74,79.13,80.45,79.13,80.11,80.19,93.28,79.07,157665,12642857.71,663,SBISILVER
2024-08-09,EQ,80.5,81.74,80.5,80.11,80.6,81.28,81.28,93.28,79.07,107985,8776752.21,233,SBISILVER
2024-08-12,EQ,81.27,81.55,80.35,81.28,80.9,80.92,80.9,93.28,79.07,81122,6563170.61,364,SBISILVER
2024-08-13,EQ,80.6,81.3,80.01,80.92,81.24,80.44,80.48,93.28,79.07,109465,8809326.51,868,SBISILVER
2024-08-14,EQ,80.44,81.6,80.44,80.44,81.6,81.51,81.33,93.28,79.07,20092,1633997.51,185,SBISILVER
2024-08-16,EQ,81.5,82.29,81.37,81.51,82.2,82.19,82.15,93.28,79.07,112595,9249734.54,379,SBISILVER
2024-08-19,EQ,83.0,84.1,82.58,82.19,84.0,83.98,83.92,93.28,79.07,76265,6399933.54,530,SBISILVER
2024-08-20,EQ,83.79,86.39,83.79,83.98,85.25,85.54,84.47,93.28,79.07,35282,2980382.9,326,SBISILVER
2024-08-21,EQ,86.0,86.0,84.31,85.54,84.88,84.86,84.87,93.28,79.07,41398,3513623.52,268,SBISILVER
2024-08-22,EQ,84.87,84.94,84.1,84.86,84.28,84.47,84.67,93.28,79.07,8348,706828.34,230,SBISILVER
2024-08-23,EQ,83.63,84.69,83.62,84.47,84.21,84.39,84.0,93.28,79.07,7537,633097.04,183,SBISILVER
