date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,268.8,276.55,265.0,256.05,276.55,276.55,271.55,330.4,14.5,42500,11540970.0,0,PEERLESHIP
2000-01-04,EQ,296.0,298.7,260.15,276.55,298.7,298.7,287.19,330.4,14.5,303500,87162375.0,0,PEERLESHIP
2000-01-05,EQ,276.0,298.0,275.0,298.7,279.5,279.75,288.97,330.4,14.5,140500,40600430.0,0,PEERLESHIP
2000-01-06,EQ,281.0,285.9,270.1,279.75,280.95,282.35,276.65,330.4,14.5,109100,30182085.0,0,PEERLESHIP
2000-01-07,EQ,266.0,272.0,259.8,282.35,259.8,259.8,261.7,330.4,14.5,52400,13713225.0,0,PEERLESHIP
2000-01-10,EQ,260.0,273.0,244.05,259.8,246.0,246.2,256.11,330.4,14.5,50900,13035925.0,0,PEERLESHIP
2000-01-11,EQ,240.25,247.0,226.5,246.2,227.0,227.5,233.76,330.4,14.5,120600,28191895.0,0,PEERLESHIP
2000-01-12,EQ,232.0,245.7,230.0,227.5,245.7,245.7,240.15,330.4,14.5,46000,11046685.0,0,PEERLESHIP
2000-01-13,EQ,254.9,259.0,240.1,245.7,242.5,241.65,250.61,330.4,14.5,97400,24409705.0,0,PEERLESHIP
2000-01-14,EQ,240.0,252.0,222.4,241.65,248.8,245.6,237.42,330.4,14.5,91800,21795175.0,0,PEERLESHIP
2000-01-17,EQ,243.0,246.0,233.0,245.6,233.0,234.75,238.87,330.4,14.5,23000,5493960.0,0,PEERLESHIP
2000-01-18,EQ,229.0,232.0,220.1,234.75,223.0,222.45,224.04,330.4,14.5,78000,17475370.0,0,PEERLESHIP
2000-01-19,EQ,230.0,240.25,226.55,222.45,235.65,238.05,236.58,330.4,14.5,125100,29596245.0,0,PEERLESHIP
2000-01-20,EQ,239.8,245.5,229.0,238.05,230.5,231.9,237.67,330.4,14.5,44300,10528760.0,0,PEERLESHIP
2000-01-21,EQ,230.0,238.5,226.5,231.9,231.25,231.55,232.17,330.4,14.5,41800,9704585.0,0,PEERLESHIP
2000-01-24,EQ,232.0,233.7,225.0,231.55,227.0,226.25,229.01,330.4,14.5,52100,11931620.0,0,PEERLESHIP
2000-01-25,EQ,226.0,244.0,212.0,226.25,228.0,226.85,229.17,330.4,14.5,215500,49386840.0,0,PEERLESHIP
2000-01-27,EQ,236.9,245.0,236.0,226.85,245.0,245.0,240.91,330.4,14.5,496700,119657800.0,0,PEERLESHIP
2000-01-28,EQ,259.0,264.6,242.0,245.0,258.0,256.9,259.75,330.4,14.5,339700,88236410.0,0,PEERLESHIP
2000-01-31,EQ,249.9,277.45,241.0,256.9,277.45,277.45,266.38,330.4,14.5,192200,51199110.0,0,PEERLESHIP
2000-02-01,EQ,288.0,299.65,275.05,277.45,299.65,299.65,295.36,330.4,14.5,174000,51393085.0,0,PEERLESHIP
2000-02-02,EQ,319.0,323.65,314.5,299.65,320.6,321.25,320.89,330.4,14.5,249700,80126630.0,0,PEERLESHIP
2000-02-03,EQ,321.0,346.95,317.0,321.25,346.95,343.9,335.45,330.4,14.5,298100,99996270.0,0,PEERLESHIP
2000-02-04,EQ,369.0,369.0,347.0,343.9,355.0,354.05,354.93,346.95,14.5,147500,52352900.0,0,PEERLESHIP
2000-02-07,EQ,363.0,363.0,325.75,354.05,350.0,349.2,347.68,369.0,14.5,346700,120540925.0,0,PEERLESHIP
2000-02-08,EQ,353.0,358.0,333.05,349.2,337.1,343.5,343.78,369.0,14.5,203200,69855360.0,0,PEERLESHIP
2000-02-09,EQ,349.0,369.9,331.0,343.5,356.0,351.1,355.56,369.0,14.5,243800,86686220.0,0,PEERLESHIP
2000-02-10,EQ,359.0,359.7,349.0,351.1,350.05,350.2,352.2,369.9,14.5,100600,35430970.0,0,PEERLESHIP
2000-02-11,EQ,350.0,355.0,350.0,350.2,350.0,350.2,350.29,369.9,14.5,97200,34048190.0,0,PEERLESHIP
2000-02-14,EQ,335.0,351.5,322.2,350.2,348.0,338.0,339.18,369.9,14.5,107500,36462130.0,0,PEERLESHIP
2000-02-15,EQ,340.0,344.0,326.15,338.0,329.0,330.85,334.41,369.9,14.5,104200,34845190.0,0,PEERLESHIP
2000-02-16,EQ,341.0,357.35,331.0,330.85,356.65,355.4,351.21,369.9,14.5,148800,52259960.0,0,PEERLESHIP
2000-02-17,EQ,355.0,383.85,353.0,355.4,379.5,380.35,373.25,369.9,14.5,187700,70059305.0,0,PEERLESHIP
2000-02-18,EQ,386.0,389.9,350.0,380.35,361.0,362.65,368.63,383.85,14.5,200500,73910460.0,0,PEERLESHIP
2000-02-21,EQ,375.0,375.0,342.0,362.65,356.1,357.7,361.42,389.9,14.5,60900,22010645.0,0,PEERLESHIP
2000-02-22,EQ,356.0,361.0,340.25,357.7,350.0,348.2,349.21,389.9,14.5,131800,46026150.0,0,PEERLESHIP
2000-02-23,EQ,361.0,365.0,336.0,348.2,336.0,342.15,352.17,389.9,14.5,47100,16587395.0,0,PEERLESHIP
2000-02-24,EQ,342.0,350.0,335.0,342.15,343.1,342.95,343.17,389.9,14.5,38300,13143400.0,0,PEERLESHIP
2000-02-25,EQ,345.9,352.0,318.0,342.95,350.0,339.55,337.97,389.9,14.5,108900,36805355.0,0,PEERLESHIP
2000-02-28,EQ,354.0,354.0,333.95,339.55,339.75,338.15,338.94,389.9,14.5,96100,32571925.0,0,PEERLESHIP
2000-02-29,EQ,341.0,350.0,315.2,338.15,322.1,327.5,334.86,389.9,14.5,128000,42861680.0,0,PEERLESHIP
2000-03-01,EQ,325.0,353.0,321.0,327.5,353.0,350.35,337.39,389.9,14.5,73800,24899530.0,0,PEERLESHIP
2000-03-02,EQ,356.0,374.9,344.0,350.35,347.0,346.65,357.12,389.9,14.5,78300,27962195.0,0,PEERLESHIP
2000-03-03,EQ,343.0,352.0,325.1,346.65,330.0,328.75,331.2,389.9,14.5,76500,25336885.0,0,PEERLESHIP
2000-03-06,EQ,316.1,355.0,316.1,328.75,350.0,349.8,347.99,389.9,14.5,233900,81394315.0,0,PEERLESHIP
2000-03-07,EQ,354.0,354.0,322.0,349.8,336.0,332.0,336.42,389.9,14.5,121700,40942030.0,0,PEERLESHIP
2000-03-08,EQ,344.0,357.9,342.0,332.0,348.9,347.4,350.52,389.9,14.5,98100,34386185.0,0,PEERLESHIP
2000-03-09,EQ,355.0,365.0,325.0,347.4,329.0,332.1,341.46,389.9,14.5,49900,17038940.0,0,PEERLESHIP
2000-03-10,EQ,323.3,333.0,305.55,332.1,305.55,305.55,313.85,389.9,14.5,34700,10890610.0,0,PEERLESHIP
2000-03-13,EQ,290.05,296.0,281.15,305.55,281.15,281.4,281.9,389.9,14.5,60700,17111175.0,0,PEERLESHIP
2000-03-14,EQ,270.0,286.0,258.9,281.4,258.9,258.9,261.21,389.9,14.5,91600,23926515.0,0,PEERLESHIP
2000-03-15,EQ,243.05,279.1,238.35,258.9,269.0,272.0,260.48,389.9,14.5,206500,53788905.0,0,PEERLESHIP
2000-03-16,EQ,267.0,270.0,250.25,272.0,250.25,251.05,259.94,389.9,14.5,26800,6966305.0,0,PEERLESHIP
2000-03-21,EQ,237.0,242.0,231.0,251.05,231.0,231.0,233.14,389.9,14.5,18000,4196570.0,0,PEERLESHIP
2000-03-22,EQ,235.0,241.0,221.2,231.0,221.2,221.85,230.59,389.9,14.5,28800,6641055.0,0,PEERLESHIP
2000-03-23,EQ,211.6,217.0,204.1,221.85,204.1,204.1,206.93,389.9,14.5,11700,2421055.0,0,PEERLESHIP
2000-03-24,EQ,190.3,196.0,187.8,204.1,190.0,190.15,189.57,389.9,14.5,29600,5611375.0,0,PEERLESHIP
2000-03-27,EQ,187.0,198.9,187.0,190.15,195.15,195.25,195.64,389.9,14.5,17200,3364925.0,0,PEERLESHIP
2000-03-28,EQ,197.0,197.0,181.0,195.25,190.0,183.55,187.94,389.9,14.5,79500,14941460.0,0,PEERLESHIP
2000-03-29,EQ,191.0,198.25,187.05,183.55,198.25,196.5,194.15,389.9,14.5,127700,24792565.0,0,PEERLESHIP
2000-03-30,EQ,195.0,212.0,189.0,196.5,193.6,193.75,197.82,389.9,14.5,42400,8387595.0,0,PEERLESHIP
2000-03-31,EQ,183.0,197.0,183.0,193.75,194.0,193.85,188.8,389.9,14.5,22900,4323630.0,0,PEERLESHIP
2000-04-03,EQ,190.0,190.0,178.35,193.85,178.35,178.35,181.86,389.9,14.5,20800,3782705.0,0,PEERLESHIP
