date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-05-22,EQ,1686.0,1686.0,1561.0,1605.9,1580.0,1579.6,1594.38,1732.0,910.0,1971,3142527.9,180,SHRIPISTON
2023-05-23,EQ,1535.0,1579.95,1510.0,1579.6,1540.0,1545.0,1543.52,1732.0,910.0,1724,2661035.2,179,SHRIPISTON
2023-05-24,EQ,1511.0,1610.0,1511.0,1545.0,1548.0,1549.75,1569.22,1732.0,910.0,1816,2849695.05,253,SHRIPISTON
2023-05-25,EQ,1519.0,1600.0,1518.1,1549.75,1550.0,1552.05,1567.26,1732.0,910.0,2959,4637532.9,214,SHRIPISTON
2023-05-26,EQ,1527.0,1599.0,1527.0,1552.05,1563.0,1568.3,1577.61,1732.0,910.0,1519,2396382.65,196,SHRIPISTON
2023-05-29,EQ,1641.0,1646.7,1597.0,1568.3,1614.9,1619.5,1640.65,1732.0,910.0,6625,10869324.8,388,SHRIPISTON
2023-05-30,EQ,1619.4,1672.9,1539.0,1619.5,1570.0,1552.8,1597.33,1732.0,910.0,3483,5563510.75,316,SHRIPISTON
2023-05-31,EQ,1566.7,1600.0,1540.1,1552.8,1565.0,1567.65,1575.79,1732.0,910.0,2052,3233525.6,196,SHRIPISTON
2023-06-01,EQ,1570.75,1583.75,1501.0,1567.65,1501.0,1509.05,1532.86,1690.0,910.0,4578,7017415.3,481,SHRIPISTON
2023-06-02,EQ,1508.0,1539.2,1481.05,1509.05,1488.0,1487.35,1505.42,1686.0,910.0,2670,4019463.15,283,SHRIPISTON
2023-06-05,EQ,1472.0,1515.0,1467.0,1487.35,1475.0,1475.35,1486.35,1686.0,910.0,2799,4160300.0,272,SHRIPISTON
2023-06-06,EQ,1465.0,1525.0,1465.0,1475.35,1495.0,1494.2,1499.5,1686.0,910.0,3190,4783409.0,195,SHRIPISTON
2023-06-07,EQ,1526.1,1526.3,1485.05,1494.2,1494.0,1489.65,1497.17,1686.0,910.0,3512,5258056.55,228,SHRIPISTON
2023-06-08,EQ,1500.05,1500.05,1459.0,1489.65,1470.05,1478.8,1479.21,1686.0,910.0,2341,3462831.85,140,SHRIPISTON
2023-06-09,EQ,1552.7,1552.7,1511.0,1478.8,1552.7,1552.7,1549.61,1686.0,910.0,27916,43258969.55,507,SHRIPISTON
2023-06-12,EQ,1630.3,1630.3,1540.0,1552.7,1549.9,1549.85,1602.58,1686.0,910.0,25359,40639889.25,1110,SHRIPISTON
2023-06-13,EQ,1615.0,1625.0,1580.0,1549.85,1590.0,1588.9,1601.41,1686.0,910.0,13792,22086713.2,901,SHRIPISTON
2023-06-14,EQ,1660.0,1667.0,1587.05,1588.9,1596.0,1596.7,1630.54,1686.0,910.0,26041,42461017.5,1622,SHRIPISTON
2023-06-15,EQ,1630.0,1664.4,1610.0,1596.7,1623.95,1622.7,1634.1,1686.0,910.0,10040,16406372.0,752,SHRIPISTON
2023-06-16,EQ,1650.0,1650.5,1611.0,1622.7,1620.0,1618.05,1630.34,1686.0,910.0,9239,15062708.05,450,SHRIPISTON
2023-06-19,EQ,1602.0,1676.8,1602.0,1618.05,1658.0,1652.7,1658.95,1686.0,910.0,26440,43862725.0,920,SHRIPISTON
2023-06-20,EQ,1676.8,1735.3,1660.0,1652.7,1735.3,1734.7,1722.77,1735.3,910.0,34851,60040349.75,1102,SHRIPISTON
2023-06-21,EQ,1821.0,1821.4,1775.05,1734.7,1821.4,1804.5,1815.7,1821.4,910.0,43267,78560006.9,1553,SHRIPISTON
2023-06-22,EQ,1857.0,1894.7,1800.0,1804.5,1845.0,1838.65,1868.13,1894.7,910.0,40034,74788572.15,1738,SHRIPISTON
2023-06-23,EQ,1875.0,1924.0,1802.0,1838.65,1900.0,1896.0,1884.65,1924.0,910.0,23825,44901829.2,2036,SHRIPISTON
2023-06-26,EQ,1941.6,1990.8,1924.05,1896.0,1990.8,1989.9,1980.89,1990.8,910.0,23028,45615936.85,1666,SHRIPISTON
2023-06-27,EQ,2048.0,2089.35,2000.0,1989.9,2089.35,2089.25,2072.92,2089.35,910.0,32126,66594642.6,1916,SHRIPISTON
2023-06-28,EQ,2159.8,2179.0,1984.8,2089.25,1984.8,1989.7,2035.37,2179.0,910.0,43701,88947609.85,2687,SHRIPISTON
2023-06-30,EQ,1985.0,1985.0,1890.25,1989.7,1890.25,1890.25,1913.34,2179.0,910.0,19244,36820326.85,1782,SHRIPISTON
2023-07-03,EQ,1915.0,1984.75,1893.0,1890.25,1984.75,1984.75,1972.47,2179.0,910.0,7785,15355710.95,599,SHRIPISTON
2023-07-04,EQ,2083.95,2083.95,2016.05,1984.75,2057.0,2073.4,2076.6,2179.0,910.0,39998,83059699.15,1755,SHRIPISTON
2023-07-05,EQ,2048.0,2165.0,2025.0,2073.4,2068.0,2063.2,2100.4,2179.0,910.0,19258,40449511.2,1775,SHRIPISTON
2023-07-06,EQ,2075.0,2166.35,2075.0,2063.2,2157.0,2162.2,2146.5,2179.0,910.0,24622,52851219.65,1466,SHRIPISTON
2023-07-07,EQ,2169.0,2228.9,2110.1,2162.2,2140.0,2133.1,2168.53,2228.9,910.0,21635,46916125.95,1847,SHRIPISTON
2023-07-10,EQ,2133.1,2239.75,2132.0,2133.1,2135.0,2144.65,2205.45,2239.75,910.0,29038,64041979.35,1274,SHRIPISTON
2023-07-11,EQ,2180.0,2251.0,2168.9,2144.65,2200.0,2200.9,2208.1,2251.0,910.0,14895,32889609.55,1213,SHRIPISTON
2023-07-12,EQ,2274.95,2310.0,2235.6,2200.9,2265.0,2277.95,2286.84,2310.0,910.0,20785,47532008.1,1382,SHRIPISTON
2023-07-13,EQ,2391.8,2391.8,2326.0,2277.95,2335.0,2353.35,2372.61,2391.8,910.0,25972,61621302.35,1276,SHRIPISTON
2023-07-14,EQ,2354.7,2378.0,2235.7,2353.35,2235.7,2235.7,2263.12,2391.8,910.0,9847,22284959.3,1018,SHRIPISTON
2023-07-17,EQ,2155.0,2278.0,2123.95,2235.7,2208.0,2251.3,2185.35,2391.8,910.0,17491,38223896.5,1715,SHRIPISTON
2023-07-18,EQ,2325.0,2325.0,2154.0,2251.3,2166.2,2167.85,2212.31,2391.8,910.0,9320,20618737.1,1427,SHRIPISTON
2023-07-19,EQ,2190.0,2249.0,2178.1,2167.85,2226.05,2221.1,2218.85,2391.8,910.0,8854,19645657.7,948,SHRIPISTON
2023-07-20,EQ,2231.0,2282.0,2145.0,2221.1,2212.5,2204.5,2241.32,2391.8,910.0,8202,18383307.85,1018,SHRIPISTON
2023-07-21,EQ,2249.9,2249.9,2190.0,2204.5,2239.0,2231.55,2221.24,2391.8,910.0,9519,21143951.6,1119,SHRIPISTON
2023-07-24,EQ,1163.0,1171.55,1163.0,2231.55,1171.55,1171.55,1171.33,2391.8,910.0,6428,7529302.5,155,SHRIPISTON
2023-07-25,EQ,1230.1,1230.1,1172.0,1171.55,1230.1,1230.1,1222.33,2391.8,910.0,28927,35358226.9,916,SHRIPISTON
2023-07-26,EQ,1291.6,1291.6,1242.1,1230.1,1291.6,1291.6,1286.49,2391.8,910.0,26368,33922219.15,955,SHRIPISTON
2023-07-27,EQ,1350.0,1356.15,1342.0,1291.6,1356.15,1356.15,1354.77,2391.8,910.0,18792,25458930.05,734,SHRIPISTON
2023-07-28,EQ,1388.0,1388.0,1288.35,1356.15,1288.35,1288.35,1319.75,2391.8,910.0,18913,24960414.0,1319,SHRIPISTON
2023-07-31,EQ,1352.75,1352.75,1306.25,1288.35,1352.75,1352.75,1350.52,2391.8,910.0,23449,31668401.3,517,SHRIPISTON
2023-08-01,EQ,1420.35,1420.35,1420.35,1352.75,1420.35,1420.35,1420.35,2391.8,934.5,3967,5634528.45,138,SHRIPISTON
2023-08-02,EQ,1491.35,1491.35,1491.35,1420.35,1491.35,1491.35,1491.35,2391.8,1020.0,10811,16122984.85,186,SHRIPISTON
2023-08-03,EQ,1521.2,1565.9,1416.8,1491.35,1498.0,1519.0,1510.54,2391.8,1163.0,74975,113252725.1,3643,SHRIPISTON
2023-08-04,EQ,1548.0,1548.0,1460.0,1519.0,1460.0,1474.55,1492.64,2391.8,1163.0,25636,38265413.95,2075,SHRIPISTON
2023-11-06,EQ,1001.5,1051.55,999.0,1001.5,1006.5,1004.6,1026.78,1649.0,871.0,66956,68748967.0,1046,SHRIPISTON
2023-11-07,EQ,1054.8,1054.8,1036.0,1004.6,1048.0,1050.2,1053.27,1649.0,871.0,467345,492238271.2,5284,SHRIPISTON
2023-11-08,EQ,1072.0,1094.95,1025.25,1050.2,1064.0,1052.85,1058.04,1649.0,871.0,112781,119326695.8,3403,SHRIPISTON
2023-11-09,EQ,1066.25,1066.25,1027.0,1052.85,1030.0,1033.85,1045.07,1649.0,871.0,95865,100186014.3,3397,SHRIPISTON
2023-11-10,EQ,1035.0,1052.6,1002.0,1033.85,1035.0,1037.4,1040.49,1649.0,871.0,80992,84271427.05,3033,SHRIPISTON
2023-11-12,EQ,1073.0,1073.0,1053.0,1037.4,1060.0,1058.35,1060.15,1649.0,871.0,53197,56396846.95,1949,SHRIPISTON
2023-11-13,EQ,1053.6,1111.25,1049.85,1058.35,1111.25,1111.25,1088.09,1649.0,871.0,81081,88223178.8,2826,SHRIPISTON
2023-11-15,EQ,1166.8,1166.8,1155.05,1111.25,1166.8,1166.8,1166.6,1649.0,871.0,32959,38449940.6,787,SHRIPISTON
2023-11-16,EQ,1220.0,1220.0,1129.8,1166.8,1140.0,1137.1,1169.29,1649.0,871.0,165148,193106546.85,6470,SHRIPISTON
2023-11-17,EQ,1155.0,1193.95,1143.0,1137.1,1193.95,1193.95,1184.11,1649.0,871.0,66440,78671984.6,1784,SHRIPISTON
2023-11-20,EQ,1248.0,1248.0,1134.25,1193.95,1157.0,1151.35,1184.99,1649.0,871.0,137044,162395120.45,4937,SHRIPISTON
2023-11-21,EQ,1186.95,1207.9,1142.1,1151.35,1163.9,1158.05,1172.02,1649.0,871.0,85944,100728071.65,3347,SHRIPISTON
2023-11-22,EQ,1197.5,1197.5,1125.0,1158.05,1127.5,1130.85,1146.79,1649.0,871.0,71507,82003331.9,3031,SHRIPISTON
2023-11-23,EQ,1135.0,1150.0,1121.1,1130.85,1134.9,1128.75,1137.59,1649.0,871.0,38283,43550352.25,1761,SHRIPISTON
2023-11-24,EQ,1151.35,1151.35,1086.0,1128.75,1099.0,1096.05,1099.86,1649.0,871.0,137345,151060222.8,3682,SHRIPISTON
2023-11-28,EQ,1100.0,1122.0,1084.05,1096.05,1092.0,1101.4,1098.24,1649.0,921.25,60708,66671834.25,2255,SHRIPISTON
2023-11-29,EQ,1100.0,1102.3,1085.1,1101.4,1090.0,1087.3,1091.84,1649.0,921.25,33710,36805781.1,1528,SHRIPISTON
2023-11-30,EQ,1086.0,1098.0,1065.0,1087.3,1067.3,1073.65,1076.23,1649.0,921.25,46957,50536345.5,1841,SHRIPISTON
2023-12-01,EQ,1073.8,1084.0,1045.5,1073.65,1049.95,1049.85,1060.46,1649.0,921.25,66604,70630675.3,2698,SHRIPISTON
2023-12-04,EQ,1073.0,1078.85,1026.1,1049.85,1037.0,1040.45,1051.38,1649.0,931.25,69079,72627945.8,3274,SHRIPISTON
2023-12-05,EQ,1030.0,1065.2,993.0,1040.45,1039.4,1034.05,1014.43,1649.0,931.25,318950,323552513.95,7935,SHRIPISTON
2023-12-06,EQ,1035.0,1045.05,1000.05,1034.05,1016.0,1013.35,1014.72,1649.0,931.25,282537,286697049.85,6152,SHRIPISTON
2023-12-07,EQ,1020.0,1045.0,1000.05,1013.35,1005.0,1005.2,1007.94,1649.0,931.25,300175,302557971.8,6350,SHRIPISTON
2023-12-08,EQ,1010.2,1012.0,993.25,1005.2,1000.0,999.9,999.64,1649.0,931.25,176780,176716883.45,3692,SHRIPISTON
2023-12-11,EQ,1013.0,1048.0,999.0,999.9,1040.0,1044.9,1014.67,1649.0,948.0,371187,376633231.75,8458,SHRIPISTON
2023-12-12,EQ,1050.0,1055.0,1005.55,1044.9,1013.0,1014.8,1019.2,1649.0,948.0,370103,377207556.3,8302,SHRIPISTON
2023-12-13,EQ,1018.0,1026.1,1001.0,1014.8,1013.0,1011.0,1011.59,1649.0,948.0,304700,308232884.5,4592,SHRIPISTON
2023-12-14,EQ,1020.0,1037.9,1004.0,1011.0,1020.0,1011.15,1018.79,1649.0,948.0,398579,406066845.65,6845,SHRIPISTON
