date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,6.0,6.0,4.05,6.1,5.35,5.35,5.01,10.25,2.0,2000,10010.0,0,SRTRANSFIN
2000-01-04,EQ,5.1,5.6,5.1,5.35,5.6,5.6,5.39,10.25,2.0,850,4585.0,0,SRTRANSFIN
2000-01-05,EQ,6.0,6.0,5.1,5.6,5.1,5.1,5.34,10.25,2.0,2000,10675.0,0,SRTRANSFIN
2000-01-06,EQ,5.0,5.05,4.65,5.1,5.0,5.0,5.01,10.25,2.0,3100,15517.5,0,SRTRANSFIN
2000-01-07,EQ,5.05,5.5,5.0,5.0,5.5,5.5,5.42,10.25,2.0,1200,6505.0,0,SRTRANSFIN
2000-01-10,EQ,4.65,4.65,4.65,5.5,4.65,4.65,4.65,10.25,2.0,300,1395.0,0,SRTRANSFIN
2000-01-11,EQ,5.0,5.0,4.6,4.65,4.6,4.6,4.73,10.25,2.0,1850,8750.0,0,SRTRANSFIN
2000-01-12,EQ,3.6,3.6,3.6,4.6,3.6,3.6,3.6,10.25,2.0,300,1080.0,0,SRTRANSFIN
2000-01-13,EQ,4.5,5.0,4.5,3.6,5.0,5.0,4.71,10.25,2.0,3600,16950.0,0,SRTRANSFIN
2000-01-14,EQ,5.5,5.5,5.5,5.0,5.5,5.5,5.5,10.25,2.0,100,550.0,0,SRTRANSFIN
2000-01-17,EQ,4.15,4.55,4.15,5.5,4.5,4.5,4.38,10.25,2.0,1050,4602.5,0,SRTRANSFIN
2000-01-18,EQ,4.1,4.6,4.1,4.5,4.6,4.6,4.52,10.25,2.0,1200,5420.0,0,SRTRANSFIN
2000-01-20,EQ,4.75,4.75,4.75,4.6,4.75,4.75,4.75,10.25,2.0,200,950.0,0,SRTRANSFIN
2000-01-21,EQ,5.0,5.3,5.0,4.75,5.25,5.25,5.04,10.25,2.0,2350,11840.0,0,SRTRANSFIN
2000-01-24,EQ,4.75,4.75,4.75,5.25,4.75,4.75,4.75,10.25,2.0,500,2375.0,0,SRTRANSFIN
2000-01-27,EQ,4.0,4.0,4.0,4.75,4.0,4.0,4.0,10.25,2.0,250,1000.0,0,SRTRANSFIN
2000-02-01,EQ,4.15,4.15,4.05,4.0,4.05,4.05,4.09,10.25,2.0,1600,6547.5,0,SRTRANSFIN
2000-02-02,EQ,4.5,4.5,4.5,4.05,4.5,4.5,4.5,10.25,2.0,100,450.0,0,SRTRANSFIN
2000-02-03,EQ,4.4,4.5,4.4,4.5,4.5,4.5,4.47,10.25,2.0,1800,8040.0,0,SRTRANSFIN
2000-02-04,EQ,4.1,4.75,4.05,4.5,4.1,4.1,4.46,10.25,2.0,900,4010.0,0,SRTRANSFIN
2000-02-07,EQ,4.3,4.5,4.25,4.1,4.5,4.5,4.34,10.25,2.0,900,3905.0,0,SRTRANSFIN
2000-02-08,EQ,4.9,4.9,4.25,4.5,4.5,4.35,4.53,10.25,2.0,4200,19030.0,0,SRTRANSFIN
2000-02-09,EQ,4.5,4.5,4.5,4.35,4.5,4.5,4.5,10.25,2.0,100,450.0,0,SRTRANSFIN
2000-02-10,EQ,4.1,4.1,4.1,4.5,4.1,4.1,4.1,10.25,2.0,1200,4920.0,0,SRTRANSFIN
2000-02-11,EQ,4.5,4.5,4.25,4.1,4.5,4.5,4.39,10.25,2.0,3100,13602.5,0,SRTRANSFIN
2000-02-14,EQ,4.1,4.45,4.05,4.5,4.45,4.45,4.31,10.25,2.0,800,3445.0,0,SRTRANSFIN
2000-02-15,EQ,4.05,4.7,4.05,4.45,4.7,4.7,4.48,10.25,2.5,1500,6725.0,0,SRTRANSFIN
