date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2020-07-08,EQ,26.9,26.9,26.9,25.65,26.9,26.9,26.9,26.9,26.9,101,2716.9,2,SILLYMONKS
2020-07-09,EQ,28.2,28.2,28.2,26.9,28.2,28.2,28.2,28.2,26.9,150,4230.0,1,SILLYMONKS
2020-07-10,EQ,29.6,29.6,29.6,28.2,29.6,29.6,29.6,29.6,26.9,100,2960.0,1,SILLYMONKS
2020-07-13,EQ,31.05,31.05,31.05,29.6,31.05,31.05,31.05,31.05,26.9,100,3105.0,1,SILLYMONKS
2020-07-14,EQ,32.6,32.6,32.0,31.05,32.55,32.55,32.46,32.6,26.9,8931,289898.0,40,SILLYMONKS
2020-07-15,EQ,34.1,34.15,32.8,32.55,34.15,34.15,34.11,34.15,26.9,8507,290176.85,36,SILLYMONKS
2020-07-16,EQ,35.8,35.8,32.5,34.15,35.8,35.8,35.29,35.8,26.9,12388,437140.6,47,SILLYMONKS
2020-07-17,EQ,37.35,37.35,34.05,35.8,34.05,34.05,35.24,37.35,26.9,4461,157220.7,36,SILLYMONKS
2020-07-20,EQ,35.0,35.75,34.0,34.05,35.75,35.75,35.6,37.35,26.9,9228,328553.95,24,SILLYMONKS
2020-07-21,EQ,35.8,37.5,35.0,35.75,35.2,35.5,35.35,37.5,26.9,3265,115426.7,31,SILLYMONKS
2020-07-22,EQ,35.5,37.25,35.1,35.5,37.0,37.0,35.81,37.5,26.9,1914,68542.5,20,SILLYMONKS
2020-07-23,EQ,37.0,37.0,35.2,37.0,35.2,35.2,36.8,37.5,26.9,960,35330.0,8,SILLYMONKS
2020-07-24,EQ,35.2,35.2,35.0,35.2,35.0,35.0,35.09,37.5,26.9,100,3508.5,3,SILLYMONKS
2020-07-27,EQ,35.0,35.0,33.25,35.0,35.0,35.0,34.01,37.5,26.9,1685,57313.0,8,SILLYMONKS
2020-07-28,EQ,36.4,36.4,33.3,35.0,35.0,35.0,35.42,37.5,26.9,25,885.6,11,SILLYMONKS
2020-07-29,EQ,33.3,33.35,33.25,35.0,33.25,33.25,33.31,37.5,26.9,5079,169179.35,6,SILLYMONKS
2020-07-30,EQ,33.5,33.5,32.9,33.25,33.5,33.5,33.45,37.5,26.9,1014,33917.4,7,SILLYMONKS
2020-07-31,EQ,31.85,31.85,31.85,33.5,31.85,31.85,31.85,37.5,26.9,138,4395.3,2,SILLYMONKS
2020-08-03,EQ,33.35,33.35,33.35,31.85,33.35,33.35,33.35,37.5,26.9,2,66.7,2,SILLYMONKS
2020-08-04,EQ,31.85,34.85,31.7,33.35,34.85,34.85,32.76,37.5,26.9,32,1048.45,3,SILLYMONKS
2020-08-05,EQ,34.85,34.85,33.15,34.85,33.15,33.15,33.15,37.5,26.9,1503,49827.85,8,SILLYMONKS
2020-08-06,EQ,31.55,33.0,31.5,33.15,33.0,33.0,31.57,37.5,26.9,235,7418.35,3,SILLYMONKS
2020-08-07,EQ,33.0,34.5,31.35,33.0,31.4,31.4,32.29,37.5,26.9,5144,166107.2,87,SILLYMONKS
