date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2019-07-22,EQ,207.9,207.9,188.0,205.0,200.0,200.85,197.36,207.9,188.0,14828,2926486.3,159,SIRCA
2019-07-23,EQ,185.9,203.0,185.9,200.85,198.0,198.0,199.43,207.9,185.9,25579,5101192.7,92,SIRCA
2019-07-24,EQ,200.1,200.1,193.0,198.0,193.0,193.1,196.76,207.9,185.9,6179,1215750.65,63,SIRCA
2019-07-25,EQ,190.4,197.0,190.0,193.1,197.0,192.6,192.6,207.9,185.9,6277,1208922.65,130,SIRCA
2019-07-26,EQ,180.0,192.5,180.0,192.6,188.0,189.95,187.0,207.9,180.0,4865,909752.7,76,SIRCA
2019-07-29,EQ,173.0,197.05,173.0,189.95,185.0,185.5,188.18,207.9,173.0,2733,514295.35,62,SIRCA
2019-07-30,EQ,176.0,195.0,172.55,185.5,172.55,177.9,181.85,207.9,172.55,2188,397886.95,79,SIRCA
2019-07-31,EQ,172.5,183.7,160.95,177.9,175.3,177.65,175.83,207.9,160.95,11078,1947802.9,198,SIRCA
2019-08-01,EQ,162.0,179.7,162.0,177.65,174.5,175.0,174.9,207.9,160.95,1202,210225.15,44,SIRCA
2019-08-02,EQ,164.0,190.0,164.0,175.0,175.0,177.1,174.25,207.9,160.95,9278,1616694.7,166,SIRCA
2019-08-05,EQ,164.0,195.0,164.0,177.1,182.8,182.2,180.38,207.9,160.95,12843,2316646.05,277,SIRCA
2019-08-06,EQ,182.2,188.95,182.2,182.2,188.95,187.45,187.56,207.9,160.95,18573,3483597.45,3636,SIRCA
2019-08-07,EQ,195.0,195.0,185.0,187.45,188.0,185.25,186.66,207.9,160.95,13216,2466866.95,1508,SIRCA
2019-08-08,EQ,174.4,194.95,174.4,185.25,185.0,185.0,185.87,207.9,160.95,1616,300358.65,29,SIRCA
2019-08-09,EQ,181.0,185.1,180.5,185.0,183.5,183.55,184.24,207.9,160.95,2632,484931.05,20,SIRCA
2019-08-13,EQ,186.0,186.0,175.05,183.55,180.0,180.4,182.83,207.9,160.95,2373,433861.5,35,SIRCA
2019-08-14,EQ,185.0,190.1,184.95,180.4,190.1,189.0,186.19,207.9,160.95,4495,836912.4,178,SIRCA
2019-08-16,EQ,192.5,200.05,191.85,189.0,199.5,197.5,197.79,207.9,160.95,17142,3390591.35,366,SIRCA
2019-08-19,EQ,208.85,208.85,190.1,197.5,192.1,193.15,196.02,208.85,160.95,4046,793104.85,101,SIRCA
2019-08-20,EQ,191.7,195.0,185.1,193.15,189.95,187.25,189.15,208.85,160.95,3657,691727.85,82,SIRCA
2019-08-21,EQ,199.35,199.35,183.5,187.25,186.0,186.0,186.82,208.85,160.95,4340,810789.3,67,SIRCA
