date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2016-07-18,EQ,49.0,49.0,45.0,48.3,45.0,46.2,47.92,49.0,45.0,4158,199244.65,25,SOMICONVEY
2016-07-19,EQ,47.0,47.0,45.1,46.2,45.55,45.15,46.48,49.0,45.0,299,13898.6,4,SOMICONVEY
2016-07-20,EQ,46.85,46.85,45.0,45.15,45.0,45.0,45.03,49.0,45.0,360,16209.25,7,SOMICONVEY
2016-07-21,EQ,45.0,46.0,45.0,45.0,46.0,46.0,45.37,49.0,45.0,147,6669.7,5,SOMICONVEY
2016-07-22,EQ,45.0,46.0,45.0,46.0,45.2,45.2,45.88,49.0,45.0,4207,193033.3,45,SOMICONVEY
2016-07-25,EQ,47.0,47.0,45.1,45.2,46.45,46.35,46.89,49.0,45.0,1016,47637.65,7,SOMICONVEY
2016-07-27,EQ,46.0,46.0,40.1,46.35,45.0,45.0,43.84,49.0,40.1,1900,83302.0,10,SOMICONVEY
2016-07-28,EQ,43.5,47.2,43.5,45.0,47.2,47.2,45.55,49.0,40.1,2648,120622.7,14,SOMICONVEY
2016-07-29,EQ,54.95,54.95,44.15,47.2,44.5,44.65,45.18,54.95,40.1,2291,103502.25,19,SOMICONVEY
2016-08-01,EQ,43.15,46.8,43.15,44.65,46.8,46.8,45.8,54.95,40.1,1554,71177.6,4,SOMICONVEY
2016-08-02,EQ,46.0,46.0,44.5,46.8,44.5,44.5,44.64,54.95,40.1,1100,49100.0,2,SOMICONVEY
2016-08-03,EQ,44.55,45.5,43.95,44.5,44.9,43.95,44.36,54.95,40.1,6197,274897.1,16,SOMICONVEY
2016-08-04,EQ,44.2,44.2,44.2,43.95,44.2,44.2,44.2,54.95,40.1,500,22100.0,2,SOMICONVEY
2016-08-09,EQ,45.0,47.4,43.7,44.2,46.95,46.95,44.17,54.95,40.1,13632,602062.2,61,SOMICONVEY
2016-08-10,EQ,47.8,47.8,44.0,46.95,44.95,44.95,44.13,54.95,40.1,4627,204202.4,16,SOMICONVEY
2016-08-11,EQ,45.0,45.0,43.6,44.95,43.6,43.6,44.0,54.95,40.1,1040,45764.5,5,SOMICONVEY
2016-08-12,EQ,47.0,47.0,46.9,43.6,46.9,46.9,46.93,54.95,40.1,15,704.0,3,SOMICONVEY
2016-08-16,EQ,45.45,45.5,43.45,46.9,45.5,45.25,44.15,54.95,40.1,5062,223465.35,33,SOMICONVEY
2016-08-17,EQ,44.0,45.0,43.4,45.25,45.0,43.6,43.59,54.95,40.1,168,7322.3,7,SOMICONVEY
2016-08-18,EQ,47.0,47.0,46.85,43.6,46.85,46.85,46.85,54.95,40.1,103,4826.0,2,SOMICONVEY
2016-08-19,EQ,47.0,47.75,43.4,46.85,46.45,46.45,43.61,54.95,40.1,3360,146545.4,11,SOMICONVEY
2016-08-23,EQ,44.95,46.0,44.3,46.45,44.3,44.3,45.77,54.95,40.1,15951,730000.8,9,SOMICONVEY
2016-08-24,EQ,47.6,47.6,43.5,44.3,44.8,44.5,45.03,54.95,40.1,559,25174.3,16,SOMICONVEY
2016-08-25,EQ,45.5,45.5,44.15,44.5,44.15,44.15,44.31,54.95,40.1,341,15110.2,3,SOMICONVEY
2016-08-26,EQ,43.0,43.95,42.25,44.15,42.3,42.55,42.51,54.95,40.1,229,9735.45,7,SOMICONVEY
2016-08-29,EQ,41.1,41.95,40.0,42.55,41.95,41.3,40.52,54.95,40.0,7690,311606.0,24,SOMICONVEY
2016-08-30,EQ,42.5,42.5,42.5,41.3,42.5,42.5,42.5,54.95,40.0,10,425.0,1,SOMICONVEY
2016-08-31,EQ,42.35,42.4,42.35,42.5,42.4,42.4,42.4,54.95,40.0,42,1780.75,3,SOMICONVEY
2016-09-01,EQ,40.05,40.05,40.05,42.4,40.05,40.05,40.05,54.95,40.0,200,8010.0,1,SOMICONVEY
2016-09-06,EQ,40.15,40.15,40.05,40.05,40.1,40.1,40.1,54.95,40.0,2096,84049.8,6,SOMICONVEY
2016-09-07,EQ,44.45,46.45,40.2,40.1,40.6,40.6,42.63,54.95,40.0,4563,194527.2,39,SOMICONVEY
2016-09-08,EQ,41.7,41.7,40.2,40.6,40.3,40.3,40.54,54.95,40.0,503,20390.6,6,SOMICONVEY
2016-09-09,EQ,40.1,41.55,40.1,40.3,41.4,41.4,40.29,54.95,40.0,390,15713.5,4,SOMICONVEY
2016-09-12,EQ,40.5,43.0,37.1,41.4,40.0,40.0,40.45,54.95,37.1,2851,115332.9,15,SOMICONVEY
2016-09-14,EQ,40.0,43.85,38.6,40.0,39.5,39.5,40.23,54.95,37.1,8155,328113.95,24,SOMICONVEY
2016-09-15,EQ,40.1,43.6,39.95,39.5,40.1,40.1,41.07,54.95,37.1,4910,201666.5,6,SOMICONVEY
2016-09-16,EQ,40.25,43.0,39.55,40.1,40.0,40.05,41.01,54.95,37.1,4100,168161.45,12,SOMICONVEY
2016-09-20,EQ,43.85,43.85,39.5,40.05,39.5,39.5,40.08,54.95,37.1,1542,61802.95,6,SOMICONVEY
2016-09-21,EQ,39.15,43.8,39.15,39.5,43.0,41.1,40.69,54.95,37.1,7521,306002.5,17,SOMICONVEY
2016-09-22,EQ,45.0,45.0,38.55,41.1,39.1,39.1,40.42,54.95,37.1,1887,76265.05,13,SOMICONVEY
2016-09-23,EQ,39.1,42.85,39.0,39.1,40.9,40.05,39.92,54.95,37.1,487,19441.8,15,SOMICONVEY
2016-09-26,EQ,40.9,40.9,38.0,40.05,38.95,38.95,38.27,54.95,37.1,1937,74120.5,14,SOMICONVEY
2016-09-27,EQ,38.1,38.2,38.0,38.95,38.0,38.0,38.05,54.95,37.1,550,20930.0,4,SOMICONVEY
2016-09-28,EQ,38.0,39.0,38.0,38.0,39.0,38.95,38.67,54.95,37.1,1449,56039.55,5,SOMICONVEY
2016-09-29,EQ,39.8,44.0,31.9,38.95,36.05,36.05,40.07,54.95,31.9,19726,790505.0,100,SOMICONVEY
