date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,28.55,30.95,28.55,28.9,30.5,30.55,30.07,51.5,11.6,16300,490150.0,0,SURYAROSNI
2000-01-04,EQ,29.9,30.0,28.5,30.55,29.5,29.25,29.24,51.5,11.6,15000,438565.0,0,SURYAROSNI
2000-01-05,EQ,29.45,31.6,28.0,29.25,31.25,30.15,30.23,51.5,11.6,37800,1142795.0,0,SURYAROSNI
2000-01-06,EQ,32.0,32.0,29.55,30.15,30.15,30.7,30.52,51.5,11.6,8400,256360.0,0,SURYAROSNI
2000-01-07,EQ,29.7,29.95,28.4,30.7,29.1,29.1,29.16,51.5,11.6,6100,177905.0,0,SURYAROSNI
2000-01-10,EQ,29.9,30.0,28.9,29.1,29.05,29.05,29.21,51.5,11.6,11800,344710.0,0,SURYAROSNI
2000-01-11,EQ,27.6,28.8,27.55,29.05,27.55,27.65,28.18,51.5,11.6,14300,402995.0,0,SURYAROSNI
2000-01-12,EQ,28.0,29.8,28.0,27.65,29.65,29.65,29.21,51.5,11.6,3200,93465.0,0,SURYAROSNI
2000-01-13,EQ,31.45,32.05,30.8,29.65,31.0,31.0,31.52,51.5,11.6,45800,1443630.0,0,SURYAROSNI
2000-01-14,EQ,30.5,30.5,29.55,31.0,29.75,29.75,29.96,51.5,11.6,3200,95875.0,0,SURYAROSNI
2000-01-17,EQ,29.95,30.9,29.0,29.75,29.0,29.0,29.93,51.5,11.6,4600,137700.0,0,SURYAROSNI
2000-01-18,EQ,28.6,29.7,27.0,29.0,27.85,27.6,28.38,51.5,11.6,17100,485250.0,0,SURYAROSNI
2000-01-19,EQ,28.65,28.95,28.0,27.6,28.95,28.95,28.7,51.5,11.6,6000,172180.0,0,SURYAROSNI
2000-01-20,EQ,29.0,31.3,28.5,28.95,31.3,31.3,30.82,51.5,11.6,27300,841405.0,0,SURYAROSNI
2000-01-21,EQ,32.5,33.0,30.0,31.3,31.3,31.15,31.09,51.5,11.6,19400,603095.0,0,SURYAROSNI
2000-01-24,EQ,30.0,30.45,29.6,31.15,30.0,29.7,29.82,51.5,11.6,51500,1535810.0,0,SURYAROSNI
2000-01-25,EQ,30.3,30.5,28.2,29.7,29.1,29.2,28.92,51.5,11.6,11700,338345.0,0,SURYAROSNI
2000-01-27,EQ,29.95,29.95,28.55,29.2,29.0,28.95,29.44,51.5,11.6,5800,170775.0,0,SURYAROSNI
2000-01-28,EQ,28.1,29.15,28.0,28.95,28.5,28.5,28.25,51.5,11.6,103100,2912130.0,0,SURYAROSNI
2000-01-31,EQ,26.3,27.25,26.25,28.5,26.7,26.7,27.22,51.5,11.6,62200,1692810.0,0,SURYAROSNI
2000-02-01,EQ,26.0,27.0,25.25,26.7,26.0,26.15,25.96,51.5,11.75,18200,472405.0,0,SURYAROSNI
2000-02-02,EQ,27.75,28.25,27.0,26.15,28.25,28.25,27.87,51.5,11.75,26000,724630.0,0,SURYAROSNI
2000-02-03,EQ,29.0,29.85,28.2,28.25,28.9,28.85,28.84,51.5,11.75,10100,291240.0,0,SURYAROSNI
2000-02-04,EQ,29.0,29.9,28.2,28.85,28.5,28.55,29.05,51.5,11.75,11300,328230.0,0,SURYAROSNI
2000-02-07,EQ,29.45,29.45,28.05,28.55,28.5,28.8,28.86,51.5,11.75,11500,331925.0,0,SURYAROSNI
2000-02-08,EQ,28.9,28.9,27.0,28.8,27.5,27.6,27.47,51.5,11.75,16400,450565.0,0,SURYAROSNI
2000-02-09,EQ,27.75,29.45,27.75,27.6,29.45,29.45,28.79,51.5,11.75,9900,285065.0,0,SURYAROSNI
2000-02-10,EQ,28.5,29.4,28.0,29.45,28.5,28.6,28.7,51.5,11.75,3000,86100.0,0,SURYAROSNI
2000-02-11,EQ,27.6,28.8,27.6,28.6,28.0,28.0,28.0,51.5,11.75,3100,86800.0,0,SURYAROSNI
2000-02-14,EQ,27.1,28.4,27.0,28.0,27.5,27.55,27.55,51.5,11.75,11700,322380.0,0,SURYAROSNI
2000-02-15,EQ,26.15,27.45,26.15,27.55,26.8,26.7,26.65,51.5,12.55,175000,4663905.0,0,SURYAROSNI
2000-02-16,EQ,27.0,27.9,27.0,26.7,27.55,27.35,27.33,51.5,12.55,8300,226810.0,0,SURYAROSNI
2000-02-17,EQ,27.1,29.5,26.9,27.35,29.5,29.5,28.59,51.5,12.55,37600,1074915.0,0,SURYAROSNI
2000-02-18,EQ,31.9,31.9,31.3,29.5,31.9,31.9,31.77,51.5,12.55,26900,854515.0,0,SURYAROSNI
2000-02-21,EQ,34.4,34.45,32.0,31.9,32.45,32.2,33.01,51.5,12.55,32600,1075975.0,0,SURYAROSNI
2000-02-22,EQ,33.7,33.7,31.4,32.2,33.4,32.25,32.13,51.5,13.0,288200,9259205.0,0,SURYAROSNI
2000-02-23,EQ,34.1,34.85,34.0,32.25,34.85,34.85,34.79,51.5,13.0,31100,1081950.0,0,SURYAROSNI
2000-02-24,EQ,35.75,36.0,33.0,34.85,34.8,34.65,34.52,51.5,13.0,21900,756010.0,0,SURYAROSNI
2000-02-25,EQ,34.9,35.9,32.0,34.65,32.8,32.5,33.54,51.5,13.0,14000,469570.0,0,SURYAROSNI
2000-02-28,EQ,34.7,34.7,31.05,32.5,31.1,31.1,32.14,51.5,13.0,5900,189605.0,0,SURYAROSNI
2000-02-29,EQ,32.0,33.5,30.0,31.1,30.0,30.95,31.32,51.5,13.0,63100,1976565.0,0,SURYAROSNI
2000-03-01,EQ,31.0,33.4,30.35,30.95,33.4,33.0,32.54,51.5,13.0,12000,390530.0,0,SURYAROSNI
2000-03-02,EQ,34.1,35.6,33.15,33.0,34.2,34.05,34.57,51.5,13.0,28900,999015.0,0,SURYAROSNI
2000-03-03,EQ,34.0,34.0,31.45,34.05,31.9,31.8,32.03,51.5,13.0,13800,441960.0,0,SURYAROSNI
2000-03-06,EQ,29.75,31.0,29.5,31.8,30.5,30.5,30.21,51.5,13.0,8600,259825.0,0,SURYAROSNI
2000-03-07,EQ,29.0,29.0,28.1,30.5,28.1,28.1,28.21,51.5,13.0,7700,217240.0,0,SURYAROSNI
2000-03-08,EQ,28.0,30.3,27.05,28.1,30.0,30.15,28.5,51.5,13.0,10100,287870.0,0,SURYAROSNI
2000-03-09,EQ,32.5,32.5,28.1,30.15,28.75,28.75,30.1,51.5,13.0,11200,337100.0,0,SURYAROSNI
2000-03-10,EQ,29.1,29.65,28.25,28.75,28.25,28.25,28.64,51.5,13.0,1000,28640.0,0,SURYAROSNI
