date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2022-04-08,EQ,63.8,66.99,61.45,63.97,66.89,66.35,65.43,66.99,61.45,19331,1264831.04,327,TNIDETF
2022-04-11,EQ,77.0,77.0,66.21,66.35,67.04,66.93,67.34,77.0,61.45,71118,4789244.4,516,TNIDETF
2022-04-12,EQ,67.0,67.5,65.0,66.93,65.7,65.13,65.89,77.0,61.45,25550,1683382.67,334,TNIDETF
2022-04-13,EQ,68.9,72.0,65.01,65.13,65.68,65.47,66.14,77.0,61.45,14856,982515.94,269,TNIDETF
2022-04-18,EQ,66.27,66.27,63.05,65.47,63.99,63.84,64.02,77.0,61.45,21722,1390701.08,438,TNIDETF
2022-04-19,EQ,64.88,65.5,62.85,63.84,63.0,63.23,63.97,77.0,61.45,28526,1824830.64,325,TNIDETF
2022-04-20,EQ,63.8,64.75,63.0,63.23,63.75,63.5,63.65,77.0,61.45,8215,522874.71,211,TNIDETF
2022-04-21,EQ,66.0,66.0,63.11,63.5,64.05,63.88,63.73,77.0,61.45,9963,634958.86,189,TNIDETF
2022-04-22,EQ,61.2,64.0,61.2,63.88,63.85,63.59,63.28,77.0,61.2,5780,365744.64,136,TNIDETF
2022-04-25,EQ,64.0,64.0,61.75,63.59,62.44,62.03,62.55,77.0,61.2,12484,780902.4,375,TNIDETF
2022-04-26,EQ,62.0,63.48,62.0,62.03,62.36,62.2,62.32,77.0,61.2,7817,487174.37,175,TNIDETF
2022-04-27,EQ,62.6,62.89,61.25,62.2,61.84,61.65,61.59,77.0,61.2,14127,870064.52,225,TNIDETF
2022-04-28,EQ,61.84,62.6,61.2,61.65,62.29,62.32,61.55,77.0,61.2,6455,397325.16,159,TNIDETF
2022-04-29,EQ,66.0,66.0,61.2,62.32,61.6,61.39,61.64,77.0,61.2,9150,564024.77,179,TNIDETF
2022-05-02,EQ,62.0,62.0,60.11,61.39,61.9,60.99,60.79,77.0,60.11,7048,428461.8,195,TNIDETF
2022-05-04,EQ,62.48,62.48,59.0,60.99,59.85,59.58,60.14,77.0,59.0,12789,769135.92,315,TNIDETF
2022-05-05,EQ,60.5,60.5,59.2,59.58,59.45,59.41,59.78,77.0,59.0,8560,511751.18,236,TNIDETF
2022-05-06,EQ,58.5,58.7,57.47,59.41,58.24,58.17,57.95,77.0,57.47,18885,1094468.84,293,TNIDETF
2022-05-09,EQ,58.24,58.24,56.71,58.17,57.79,57.65,57.5,77.0,56.71,8106,466113.85,191,TNIDETF
2022-05-10,EQ,59.9,59.9,56.4,57.65,56.45,56.54,57.07,77.0,56.4,6331,361323.25,216,TNIDETF
2022-05-11,EQ,56.8,56.99,55.11,56.54,55.97,55.87,55.98,77.0,55.11,9549,534541.42,206,TNIDETF
2022-05-12,EQ,55.11,55.4,54.25,55.87,54.79,54.61,54.9,77.0,54.25,8682,476673.67,216,TNIDETF
2022-05-13,EQ,56.0,56.0,54.5,54.61,55.25,54.97,54.84,77.0,54.25,8713,477849.58,145,TNIDETF
2022-05-16,EQ,53.9,55.98,53.9,54.97,55.7,55.07,55.1,77.0,53.9,6841,376956.92,160,TNIDETF
2022-05-17,EQ,56.0,56.9,54.8,55.07,56.9,56.56,55.38,77.0,53.9,9985,552967.03,191,TNIDETF
2022-05-18,EQ,57.69,57.69,55.71,56.56,56.8,55.83,56.56,77.0,53.9,4650,263013.45,170,TNIDETF
2022-05-19,EQ,56.5,57.0,53.2,55.83,56.1,56.69,56.48,77.0,53.2,6373,359937.63,192,TNIDETF
2022-05-20,EQ,57.85,57.85,54.11,56.69,55.0,55.03,54.84,77.0,53.2,14236,780671.9,238,TNIDETF
2022-05-23,EQ,52.25,56.78,52.25,55.03,55.4,55.2,54.97,77.0,52.25,8768,481974.85,144,TNIDETF
2022-05-24,EQ,55.85,55.85,54.5,55.2,55.09,54.58,54.85,77.0,52.25,3474,190565.05,104,TNIDETF
2022-05-25,EQ,55.49,55.49,53.0,54.58,53.6,53.55,53.89,77.0,52.25,6294,339184.96,166,TNIDETF
2022-05-26,EQ,53.0,54.0,52.7,53.55,53.9,53.46,53.29,77.0,52.25,5157,274829.26,134,TNIDETF
2022-05-27,EQ,54.98,55.24,53.8,53.46,54.61,54.64,54.71,77.0,52.25,2298,125726.74,115,TNIDETF
2022-05-30,EQ,56.0,57.1,55.0,54.64,56.99,56.98,56.52,77.0,52.25,6669,376941.41,207,TNIDETF
2022-05-31,EQ,58.15,58.15,56.25,56.98,57.26,57.26,57.25,77.0,52.25,3097,177288.97,124,TNIDETF
2022-06-01,EQ,58.49,58.49,56.4,57.26,57.0,57.15,57.62,77.0,52.25,3085,177748.97,127,TNIDETF
2022-06-02,EQ,57.01,57.5,56.2,57.15,57.15,56.8,56.75,77.0,52.25,2214,125652.12,106,TNIDETF
2022-06-03,EQ,57.0,58.3,56.71,56.8,57.4,56.89,57.31,77.0,52.25,6687,383206.55,152,TNIDETF
2022-06-06,EQ,56.89,57.0,55.15,56.89,56.49,56.49,55.95,77.0,52.25,4219,236053.47,133,TNIDETF
2022-06-07,EQ,56.19,56.19,55.04,56.49,55.59,55.58,55.54,77.0,52.25,2781,154445.72,103,TNIDETF
2022-06-08,EQ,55.59,56.0,55.01,55.58,55.78,55.43,55.5,77.0,52.25,1867,103612.49,91,TNIDETF
2022-06-09,EQ,56.98,56.98,54.52,55.43,55.19,55.54,55.51,77.0,52.25,1891,104964.44,97,TNIDETF
2022-06-10,EQ,55.6,55.7,55.0,55.54,55.65,55.64,55.3,77.0,52.25,2612,144449.03,91,TNIDETF
2022-06-13,EQ,54.5,56.0,53.15,55.64,56.0,53.96,54.15,77.0,52.25,3370,182497.9,156,TNIDETF
2022-06-14,EQ,54.9,54.9,53.49,53.96,54.39,54.13,54.1,77.0,52.25,5410,292687.88,88,TNIDETF
2022-06-15,EQ,54.7,54.7,53.5,54.13,53.66,53.81,54.02,77.0,52.25,2898,156552.4,95,TNIDETF
2022-06-16,EQ,55.0,55.0,52.5,53.81,53.51,53.18,53.07,77.0,52.25,7646,405758.23,148,TNIDETF
2022-06-17,EQ,51.3,52.9,51.0,53.18,52.4,52.23,51.52,77.0,51.0,17347,893718.47,246,TNIDETF
2022-06-20,EQ,53.3,53.3,51.21,52.23,51.3,51.68,51.61,77.0,51.0,3750,193533.9,117,TNIDETF
2022-06-21,EQ,52.3,53.2,51.72,51.68,52.65,52.65,52.8,77.0,51.0,3363,177579.46,85,TNIDETF
2022-06-22,EQ,52.65,53.2,52.0,52.65,52.4,52.54,52.95,77.0,51.0,1966,104096.45,86,TNIDETF
2022-06-23,EQ,53.78,53.78,52.17,52.54,53.45,53.45,52.92,77.0,51.0,803,42497.17,72,TNIDETF
2022-06-24,EQ,54.25,54.25,53.15,53.45,53.86,53.53,53.89,77.0,51.0,2855,153860.92,71,TNIDETF
2022-06-27,EQ,55.0,55.0,54.0,53.53,54.89,54.79,54.75,77.0,51.0,3571,195496.29,121,TNIDETF
2022-06-28,EQ,54.9,54.9,53.5,54.79,54.0,54.75,54.34,77.0,51.0,1436,78032.53,71,TNIDETF
2022-06-29,EQ,54.2,54.5,53.0,54.75,53.64,53.76,53.86,77.0,51.0,1738,93608.36,94,TNIDETF
2022-06-30,EQ,54.2,54.2,52.61,53.76,52.8,53.16,53.24,77.0,51.0,1850,98484.89,97,TNIDETF
2022-07-01,EQ,53.98,53.98,51.08,53.16,53.0,52.87,52.57,77.0,51.0,2955,155350.06,109,TNIDETF
2022-07-04,EQ,52.87,54.45,51.35,52.87,53.79,53.65,53.53,77.0,51.0,2188,117113.64,100,TNIDETF
2022-07-05,EQ,53.5,55.1,52.5,53.65,53.6,53.33,53.54,77.0,51.0,4824,258276.52,138,TNIDETF
2022-07-06,EQ,53.33,54.2,52.5,53.33,54.2,53.9,53.09,77.0,51.0,1979,105056.91,95,TNIDETF
2022-07-07,EQ,53.8,54.2,52.55,53.9,53.59,53.59,53.52,77.0,51.0,8022,429343.8,90,TNIDETF
2022-07-08,EQ,54.5,54.5,53.1,53.59,53.65,53.63,53.61,77.0,51.0,3565,191113.54,85,TNIDETF
2022-07-11,EQ,53.63,53.63,52.4,53.63,52.94,52.92,52.67,77.0,51.0,7293,384114.01,161,TNIDETF
2022-07-12,EQ,53.0,53.19,52.2,52.92,52.57,52.65,52.66,77.0,51.0,4514,237720.87,126,TNIDETF
2022-07-13,EQ,52.65,53.5,52.2,52.65,52.56,52.54,52.71,77.0,51.0,4273,225220.69,114,TNIDETF
2022-07-14,EQ,53.96,53.96,51.34,52.54,51.86,51.81,52.02,77.0,51.0,4736,246381.78,158,TNIDETF
2022-07-15,EQ,51.86,53.0,51.31,51.81,51.74,51.62,52.18,77.0,51.0,27479,1433983.85,157,TNIDETF
2022-07-18,EQ,51.65,53.02,51.62,51.62,53.02,52.92,52.68,77.0,51.0,7379,388707.49,119,TNIDETF
2022-07-19,EQ,53.98,55.0,51.08,52.92,53.04,53.09,53.37,77.0,51.0,4134,220647.01,116,TNIDETF
2022-07-20,EQ,53.1,56.93,53.1,53.09,53.91,54.01,53.91,77.0,51.0,3884,209375.01,113,TNIDETF
2022-07-21,EQ,55.48,55.48,54.02,54.01,54.72,54.71,54.49,77.0,51.0,7570,412494.48,119,TNIDETF
2022-07-22,EQ,59.9,59.9,54.2,54.71,54.65,55.04,55.01,77.0,51.0,38863,2138047.06,138,TNIDETF
2022-07-25,EQ,59.0,59.0,53.97,55.04,54.24,54.2,54.35,77.0,51.0,4303,233857.04,142,TNIDETF
2022-07-26,EQ,54.7,54.7,53.15,54.2,54.64,54.54,53.8,77.0,51.0,2550,137198.34,109,TNIDETF
2022-07-27,EQ,53.5,53.94,52.2,54.54,53.94,53.32,53.07,77.0,51.0,5996,318214.9,176,TNIDETF
2022-07-28,EQ,55.73,55.73,53.31,53.32,54.26,53.9,54.09,77.0,51.0,4517,244334.2,109,TNIDETF
2022-07-29,EQ,53.9,55.35,53.9,53.9,55.3,55.28,54.94,77.0,51.0,18340,1007564.02,131,TNIDETF
2022-08-01,EQ,55.4,56.5,55.0,55.28,56.3,56.07,55.97,77.0,51.0,29515,1651865.31,168,TNIDETF
2022-08-02,EQ,54.05,57.92,54.05,56.07,56.5,56.64,56.43,77.0,51.0,12201,688442.28,179,TNIDETF
2022-08-03,EQ,57.0,57.4,56.12,56.64,57.4,57.02,56.79,77.0,51.0,4660,264644.6,117,TNIDETF
2022-08-04,EQ,57.9,57.9,56.14,57.02,57.12,57.28,56.97,77.0,51.0,5284,301026.54,134,TNIDETF
2022-08-05,EQ,57.5,58.0,57.3,57.28,57.31,57.61,57.65,77.0,51.0,6797,391826.78,133,TNIDETF
2022-08-08,EQ,57.4,58.69,57.01,57.61,57.82,57.65,57.54,77.0,51.0,4251,244610.44,106,TNIDETF
2022-08-10,EQ,57.2,58.5,56.8,57.65,57.79,57.56,57.35,77.0,51.0,4342,249027.64,142,TNIDETF
2022-08-11,EQ,57.8,58.25,57.61,57.56,58.21,58.2,58.1,77.0,51.0,7278,422845.05,114,TNIDETF
2022-08-12,EQ,59.48,61.79,56.3,58.2,57.95,57.99,58.53,77.0,51.0,5252,307415.87,100,TNIDETF
2022-08-16,EQ,59.98,59.98,58.1,57.99,58.54,58.54,58.57,77.0,51.0,3509,205530.26,128,TNIDETF
2022-08-17,EQ,59.2,59.7,58.4,58.54,59.28,59.18,59.27,77.0,51.0,31937,1892972.59,170,TNIDETF
2022-08-18,EQ,59.0,59.7,56.9,59.18,59.47,59.33,58.38,77.0,51.0,108508,6334361.8,203,TNIDETF
2022-08-19,EQ,60.0,60.0,58.76,59.33,58.97,59.01,59.45,77.0,51.0,8693,516803.13,138,TNIDETF
2022-08-22,EQ,59.01,59.01,57.51,59.01,57.94,57.94,58.16,77.0,51.0,5874,341649.71,140,TNIDETF
2022-08-23,EQ,57.8,57.8,56.6,57.94,57.65,57.36,57.46,77.0,51.0,6056,347959.5,104,TNIDETF
2022-08-24,EQ,58.2,58.2,57.11,57.36,57.89,57.94,57.74,77.0,51.0,2804,161903.81,94,TNIDETF
2022-08-25,EQ,59.0,59.0,57.72,57.94,57.93,57.84,58.21,77.0,51.0,4835,281438.63,114,TNIDETF
2022-08-26,EQ,58.75,58.75,57.75,57.84,57.93,57.91,58.0,77.0,51.0,3059,177431.99,93,TNIDETF
2022-08-29,EQ,56.3,56.85,55.0,57.91,56.15,56.14,56.21,77.0,51.0,18596,1045340.76,186,TNIDETF
2022-08-30,EQ,56.8,56.8,56.02,56.14,56.7,56.6,56.39,77.0,51.0,164634,9283260.8,142,TNIDETF
2022-09-01,EQ,57.98,57.98,55.1,56.6,56.8,56.56,56.46,77.0,51.0,6454,364416.44,169,TNIDETF
2022-09-02,EQ,57.5,57.5,56.3,56.56,56.48,56.48,56.6,77.0,51.0,4743,268468.01,111,TNIDETF
2022-09-05,EQ,57.0,57.0,56.0,56.48,56.73,56.6,56.57,77.0,51.0,4292,242788.37,124,TNIDETF
2022-09-06,EQ,56.6,56.79,56.18,56.6,56.32,56.35,56.36,77.0,51.0,5468,308163.66,129,TNIDETF
2022-09-07,EQ,56.55,56.55,55.5,56.35,56.55,56.49,56.3,77.0,51.0,6254,352078.56,184,TNIDETF
2022-09-08,EQ,57.01,57.24,56.5,56.49,56.96,57.14,57.07,77.0,51.0,15221,868715.35,147,TNIDETF
2022-09-09,EQ,57.0,58.0,57.0,57.14,57.84,57.81,57.38,77.0,51.0,8057,462303.56,102,TNIDETF
2022-09-12,EQ,58.55,58.55,57.51,57.81,58.42,58.43,58.27,77.0,51.0,12735,742053.26,151,TNIDETF
2022-09-13,EQ,58.51,58.99,58.0,58.43,58.68,58.68,58.48,77.0,51.0,15302,894864.35,127,TNIDETF
2022-09-14,EQ,58.0,58.0,55.53,58.68,57.63,57.59,57.36,77.0,51.0,9944,570368.75,146,TNIDETF
2022-09-15,EQ,58.3,58.3,56.8,57.59,57.24,57.21,57.22,77.0,51.0,5781,330765.24,135,TNIDETF
2022-09-16,EQ,57.21,57.21,55.36,57.21,56.42,55.68,56.17,77.0,51.0,23228,1304657.72,292,TNIDETF
2022-09-19,EQ,56.98,56.98,55.09,55.68,55.45,55.45,55.34,77.0,51.0,18198,1007001.69,219,TNIDETF
2022-09-20,EQ,56.5,56.53,55.4,55.45,55.97,55.81,56.01,77.0,51.0,12236,685282.19,142,TNIDETF
2022-09-21,EQ,55.4,56.28,55.4,55.81,55.7,55.54,55.73,77.0,51.0,5198,289701.69,106,TNIDETF
2022-09-22,EQ,55.54,55.96,55.01,55.54,55.41,55.56,55.5,77.0,51.0,6181,343021.71,145,TNIDETF
2022-09-23,EQ,55.0,55.99,54.65,55.56,54.69,54.7,54.99,77.0,51.0,16476,905959.38,175,TNIDETF
2022-09-26,EQ,55.98,55.98,52.77,54.7,53.57,53.95,53.91,77.0,51.0,11261,607122.63,185,TNIDETF
2022-09-27,EQ,53.95,54.69,53.5,53.95,54.2,54.28,54.01,77.0,51.0,6461,348979.12,137,TNIDETF
2022-09-28,EQ,52.66,55.48,52.66,54.28,54.4,54.3,54.43,77.0,51.0,6042,328851.63,127,TNIDETF
