date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,105.5,113.1,105.1,104.7,113.1,113.1,112.26,147.5,35.0,15100,1695115.0,0,UCALFUEL
2000-01-04,EQ,112.0,116.7,108.1,113.1,116.7,113.0,110.57,147.5,35.0,23900,2642565.0,0,UCALFUEL
2000-01-05,EQ,116.7,116.7,104.1,113.0,105.9,105.7,106.91,147.5,35.0,10800,1154620.0,0,UCALFUEL
2000-01-06,EQ,103.0,107.0,103.0,105.7,104.0,104.0,105.17,147.5,35.0,6800,715145.0,0,UCALFUEL
2000-01-07,EQ,105.5,106.0,100.5,104.0,101.25,102.75,102.76,147.5,35.0,5400,554890.0,0,UCALFUEL
2000-01-10,EQ,105.0,105.0,101.05,102.75,102.1,103.1,102.86,147.5,35.0,5300,545170.0,0,UCALFUEL
2000-01-11,EQ,100.0,100.75,96.1,103.1,97.75,97.35,98.61,147.5,35.0,9800,966350.0,0,UCALFUEL
2000-01-12,EQ,100.0,105.1,99.5,97.35,105.1,104.2,102.19,147.5,35.0,8000,817485.0,0,UCALFUEL
2000-01-13,EQ,104.9,105.0,100.1,104.2,102.0,102.0,102.21,147.5,35.0,5200,531500.0,0,UCALFUEL
2000-01-14,EQ,100.0,104.0,99.0,102.0,102.7,102.8,101.13,147.5,35.0,5400,546090.0,0,UCALFUEL
2000-01-17,EQ,101.2,103.1,101.2,102.8,102.5,102.7,102.65,147.5,35.0,7100,728835.0,0,UCALFUEL
2000-01-18,EQ,100.25,103.9,100.2,102.7,101.15,101.55,101.47,147.5,35.0,9300,943665.0,0,UCALFUEL
2000-01-19,EQ,103.0,109.7,102.25,101.55,109.7,109.6,106.42,147.5,35.0,16700,1777185.0,0,UCALFUEL
2000-01-20,EQ,111.0,111.0,105.3,109.6,105.5,106.05,107.54,147.5,35.0,25300,2720710.0,0,UCALFUEL
2000-01-21,EQ,106.1,114.55,106.1,106.05,113.35,114.4,111.79,147.5,35.0,37600,4203225.0,0,UCALFUEL
2000-01-24,EQ,118.9,118.9,109.0,114.4,112.0,111.1,113.12,147.5,35.0,36200,4095045.0,0,UCALFUEL
2000-01-25,EQ,108.5,110.0,106.25,111.1,108.65,107.7,108.1,147.5,35.0,18000,1945770.0,0,UCALFUEL
2000-01-27,EQ,110.0,113.95,108.0,107.7,108.0,108.1,109.95,147.5,35.0,8700,956565.0,0,UCALFUEL
2000-01-28,EQ,107.25,107.25,103.0,108.1,106.95,105.85,104.66,147.5,35.0,10700,1119825.0,0,UCALFUEL
2000-01-31,EQ,110.0,110.5,101.0,105.85,101.0,101.95,103.23,147.5,35.0,9200,949720.0,0,UCALFUEL
2000-02-01,EQ,101.05,101.05,97.0,101.95,100.0,98.9,98.75,147.5,35.0,8500,839355.0,0,UCALFUEL
2000-02-02,EQ,100.0,100.0,91.0,98.9,95.1,95.45,93.44,147.5,35.0,32900,3074215.0,0,UCALFUEL
2000-02-03,EQ,103.1,103.1,88.0,95.45,90.9,90.5,91.81,147.5,35.0,17600,1615915.0,0,UCALFUEL
2000-02-04,EQ,86.5,89.0,84.0,90.5,88.9,88.5,86.22,147.5,35.0,16300,1405380.0,0,UCALFUEL
2000-02-07,EQ,86.0,89.0,82.0,88.5,82.5,83.25,84.29,147.5,35.0,10400,876635.0,0,UCALFUEL
2000-02-08,EQ,84.8,84.8,77.0,83.25,78.75,77.9,78.61,147.5,35.0,16700,1312740.0,0,UCALFUEL
2000-02-09,EQ,75.05,81.75,74.0,77.9,75.5,75.5,76.41,147.5,35.0,14100,1077420.0,0,UCALFUEL
2000-02-10,EQ,75.9,76.0,74.1,75.5,74.75,74.75,75.26,147.5,35.0,5800,436495.0,0,UCALFUEL
2000-02-11,EQ,74.0,75.0,72.0,74.75,72.6,73.15,73.39,147.5,35.0,6600,484360.0,0,UCALFUEL
2000-02-14,EQ,72.0,72.0,67.35,73.15,67.35,68.0,69.85,147.5,35.0,5800,405120.0,0,UCALFUEL
2000-02-15,EQ,66.75,68.6,66.15,68.0,66.6,67.1,67.26,147.5,35.0,28200,1896700.0,0,UCALFUEL
2000-02-16,EQ,67.1,72.0,67.1,67.1,69.75,69.55,69.4,147.5,35.0,12800,888325.0,0,UCALFUEL
2000-02-17,EQ,71.85,72.1,70.0,69.55,72.0,72.0,71.04,147.5,35.0,7900,561235.0,0,UCALFUEL
2000-02-18,EQ,75.0,76.65,72.0,72.0,72.1,72.65,73.61,147.5,35.0,7600,559470.0,0,UCALFUEL
2000-02-21,EQ,70.0,70.8,67.55,72.65,67.85,68.5,68.85,147.5,35.0,5400,371790.0,0,UCALFUEL
2000-02-22,EQ,67.25,69.5,63.05,68.5,63.25,63.45,64.54,147.5,35.0,10400,671265.0,0,UCALFUEL
2000-02-23,EQ,64.2,66.8,62.0,63.45,62.0,62.2,63.9,147.5,35.0,8700,555945.0,0,UCALFUEL
2000-02-24,EQ,62.9,63.0,58.5,62.2,58.5,59.65,61.15,147.5,35.0,5900,360780.0,0,UCALFUEL
2000-02-25,EQ,57.25,61.0,57.0,59.65,59.5,59.45,59.5,147.5,35.0,2200,130895.0,0,UCALFUEL
2000-02-28,EQ,57.25,60.5,57.0,59.45,60.0,60.1,59.14,147.5,35.0,6300,372565.0,0,UCALFUEL
2000-02-29,EQ,60.0,63.4,59.55,60.1,60.1,60.7,61.54,147.5,35.0,11900,732360.0,0,UCALFUEL
2000-03-01,EQ,62.4,62.4,60.0,60.7,60.0,60.05,61.34,147.5,35.0,6200,380320.0,0,UCALFUEL
2000-03-02,EQ,61.75,61.75,56.25,60.05,56.25,56.95,58.8,147.5,35.0,6400,376350.0,0,UCALFUEL
2000-03-03,EQ,53.1,56.5,52.4,56.95,54.05,54.7,53.06,147.5,35.0,5800,307755.0,0,UCALFUEL
2000-03-06,EQ,54.5,54.5,50.4,54.7,50.4,50.4,51.29,147.5,35.0,5700,292350.0,0,UCALFUEL
2000-03-07,EQ,50.5,50.9,48.25,50.4,49.0,49.45,49.64,147.5,35.0,20500,1017600.0,0,UCALFUEL
2000-03-08,EQ,45.6,52.9,45.6,49.45,50.0,50.0,49.89,147.5,35.0,12600,628670.0,0,UCALFUEL
