date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2015-04-30,EQ,288.0,309.0,286.0,205.0,292.5,294.1,296.87,309.0,286.0,22868893,6789007657.65,249340,VRLLOG
2015-05-04,EQ,295.35,298.6,280.35,294.1,283.35,283.0,288.95,309.0,280.35,2035400,588120854.85,35314,VRLLOG
2015-05-05,EQ,283.0,289.85,279.2,283.0,288.6,285.55,284.56,309.0,279.2,1427091,406092072.1,28221,VRLLOG
2015-05-06,EQ,285.8,292.0,275.75,285.55,277.0,279.25,282.92,309.0,275.75,1432505,405279837.0,25700,VRLLOG
2015-05-07,EQ,276.75,283.8,273.1,279.25,274.3,275.1,277.2,309.0,273.1,836450,231859939.4,18968,VRLLOG
2015-05-08,EQ,276.95,283.0,276.95,275.1,280.4,281.0,280.3,309.0,273.1,486076,136248307.55,9030,VRLLOG
2015-05-11,EQ,282.45,285.0,278.85,281.0,279.2,279.95,281.44,309.0,273.1,423633,119226646.8,8035,VRLLOG
2015-05-12,EQ,280.0,280.6,261.05,279.95,261.75,261.8,267.94,309.0,261.05,399348,107003265.55,7674,VRLLOG
2015-05-14,EQ,271.7,273.9,266.5,269.9,273.55,272.2,270.17,309.0,261.05,206959,55913533.6,3515,VRLLOG
2015-05-15,EQ,274.75,275.55,265.5,272.2,267.5,267.55,270.68,309.0,261.05,182416,49375977.75,3609,VRLLOG
2015-05-18,EQ,268.95,281.0,268.2,267.55,279.95,278.65,275.54,309.0,261.05,379421,104543863.4,6448,VRLLOG
2015-05-19,EQ,279.7,294.8,275.3,278.65,289.5,288.9,288.05,309.0,261.05,1087895,313369721.4,16865,VRLLOG
2015-05-20,EQ,290.5,303.4,290.0,288.9,301.0,301.25,299.28,309.0,261.05,1585201,474412228.05,28933,VRLLOG
2015-05-21,EQ,302.0,303.5,290.8,301.25,291.5,292.5,295.35,309.0,261.05,547292,161643665.35,9374,VRLLOG
2015-05-22,EQ,293.45,295.4,288.0,292.5,289.15,290.3,291.51,309.0,261.05,307189,89550065.85,4311,VRLLOG
2015-05-25,EQ,290.4,303.0,288.85,290.3,296.2,297.2,297.81,309.0,261.05,902993,268920943.55,14084,VRLLOG
2015-05-26,EQ,305.0,328.7,299.9,297.2,320.75,320.15,312.84,328.7,261.05,3561776,1114253632.65,50781,VRLLOG
