date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2019-02-18,EQ,101.7,101.7,83.35,92.6,83.35,83.35,89.89,101.7,55.15,71741,6448642.45,1049,XELPMOC
2019-02-19,EQ,75.45,87.0,75.05,83.35,75.05,75.95,78.37,101.7,55.15,160416,12571109.05,1622,XELPMOC
2019-02-20,EQ,70.0,73.0,68.4,75.95,68.4,68.55,69.83,101.7,55.15,65357,4563852.3,730,XELPMOC
2019-02-21,EQ,68.0,71.0,66.25,68.55,70.0,68.7,69.35,101.7,55.15,26126,1811939.55,548,XELPMOC
2019-02-22,EQ,69.8,69.8,66.1,68.7,66.5,66.6,67.63,101.7,55.15,18837,1274010.05,551,XELPMOC
2019-02-25,EQ,66.6,69.9,63.65,66.6,69.9,69.9,66.36,101.7,55.15,33878,2248189.55,281,XELPMOC
2019-02-26,EQ,69.95,73.35,69.9,69.9,73.35,73.35,72.37,101.7,55.15,20095,1454374.85,243,XELPMOC
2019-02-27,EQ,77.0,77.0,73.35,73.35,75.6,75.4,76.1,101.7,55.15,29606,2252953.6,329,XELPMOC
2019-02-28,EQ,76.9,77.95,73.0,75.4,73.9,73.75,74.97,101.7,55.15,14701,1102191.2,331,XELPMOC
2019-03-01,EQ,76.35,76.5,71.15,73.75,75.0,73.35,73.77,101.7,55.15,17386,1282586.5,345,XELPMOC
2019-03-05,EQ,70.7,76.0,70.7,73.35,74.4,73.7,74.15,101.7,55.15,13132,973720.2,244,XELPMOC
2019-03-06,EQ,75.85,75.85,72.0,73.7,73.1,72.8,72.95,101.7,55.15,12480,910355.45,313,XELPMOC
2019-03-07,EQ,73.7,74.0,69.5,72.8,70.35,69.95,71.05,101.7,55.15,8745,621307.85,172,XELPMOC
2019-03-08,EQ,70.0,71.0,67.35,69.95,68.8,68.45,67.52,101.7,55.15,459873,31049796.1,202,XELPMOC
2019-03-11,EQ,71.8,71.85,67.5,68.45,71.85,71.85,67.83,101.7,55.15,329268,22334398.55,372,XELPMOC
2019-03-12,EQ,71.55,74.85,71.1,71.85,72.5,71.5,72.35,101.7,55.15,10327,747167.55,165,XELPMOC
2019-03-13,EQ,70.3,71.4,69.2,71.5,70.15,70.25,70.5,101.7,55.15,7242,510585.9,124,XELPMOC
2019-03-14,EQ,69.0,72.0,67.2,70.25,70.0,70.0,69.85,101.7,55.15,6301,440102.95,104,XELPMOC
2019-03-15,EQ,69.95,70.8,69.25,70.0,70.1,70.1,70.0,101.7,55.15,10977,768388.8,103,XELPMOC
2019-03-18,EQ,70.0,71.95,69.2,70.1,69.95,71.2,70.18,101.7,55.15,3320,232984.5,94,XELPMOC
2019-03-19,EQ,71.2,71.2,69.2,71.2,70.0,69.6,69.89,101.7,55.15,2601,181777.45,70,XELPMOC
2019-03-20,EQ,70.85,70.85,68.5,69.6,69.1,69.5,69.55,101.7,55.15,2225,154751.8,57,XELPMOC
2019-03-22,EQ,71.0,71.0,68.15,69.5,69.0,69.05,69.44,101.7,55.15,7600,527779.8,106,XELPMOC
2019-03-25,EQ,69.1,70.45,66.2,69.05,67.15,67.3,68.59,101.7,55.15,2180,149533.7,84,XELPMOC
2019-03-26,EQ,69.0,69.0,65.55,67.3,66.5,66.65,66.5,101.7,55.15,8382,557424.45,389,XELPMOC
2019-03-27,EQ,68.0,68.0,65.55,66.65,66.8,67.15,66.78,101.7,55.15,5256,350993.5,82,XELPMOC
