date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,1175.0,1179.95,1160.0,1092.55,1179.95,1179.95,1177.03,6740.55,542.6,1261391,1484690280.2,0,ZEETELE
2000-01-04,EQ,1220.0,1274.35,1183.1,1179.95,1274.35,1260.65,1228.02,6740.55,542.6,4616547,5669219745.1,0,ZEETELE
2000-01-05,EQ,1160.55,1317.7,1159.8,1260.65,1190.95,1176.55,1238.35,6740.55,542.6,8763127,10851775958.0,0,ZEETELE
2000-01-06,EQ,1195.0,1200.0,1095.0,1176.55,1106.0,1115.45,1135.04,6740.55,542.6,5164020,5861352725.2,0,ZEETELE
2000-01-07,EQ,1097.1,1097.1,1026.25,1115.45,1026.25,1026.25,1029.94,6740.55,542.6,755129,777737410.3,0,ZEETELE
2000-01-10,EQ,1026.25,1026.25,944.3,1026.25,962.0,966.7,980.49,6740.55,542.6,3942813,3865884836.05,0,ZEETELE
2000-01-11,EQ,985.0,1044.0,891.0,966.7,1018.8,1019.95,995.97,6740.55,542.6,6802005,6774605252.15,0,ZEETELE
2000-01-12,EQ,1035.0,1088.0,1035.0,1019.95,1064.0,1063.85,1068.99,6740.55,542.6,2968833,3173652929.2,0,ZEETELE
2000-01-13,EQ,1073.0,1085.0,1012.7,1063.85,1018.0,1023.1,1050.57,6740.55,542.6,2251046,2364882024.45,0,ZEETELE
2000-01-14,EQ,1030.0,1034.75,980.7,1023.1,1001.0,1001.85,1007.74,6740.55,542.6,2949092,2971905654.7,0,ZEETELE
2000-01-17,EQ,1022.0,1054.9,1011.1,1001.85,1034.9,1042.35,1036.05,6740.55,542.6,3526666,3653788161.9,0,ZEETELE
2000-01-18,EQ,1034.0,1039.0,1001.0,1042.35,1015.0,1009.3,1021.41,6740.55,542.6,2754298,2813263942.35,0,ZEETELE
2000-01-19,EQ,1040.0,1090.05,1040.0,1009.3,1090.05,1090.05,1070.58,6740.55,542.6,2048407,2192973953.95,0,ZEETELE
2000-01-20,EQ,1139.9,1177.25,1125.0,1090.05,1146.0,1149.15,1159.75,6740.55,542.6,5125365,5944155360.5,0,ZEETELE
2000-01-21,EQ,1149.0,1183.8,1135.0,1149.15,1180.0,1176.85,1164.23,6740.55,542.6,4048147,4712993614.35,0,ZEETELE
2000-01-24,EQ,1187.7,1241.0,1187.7,1176.85,1234.0,1223.15,1218.64,6740.55,542.6,3969446,4837337234.75,0,ZEETELE
2000-01-25,EQ,1230.0,1235.0,1185.0,1223.15,1203.0,1209.0,1211.07,6740.55,542.6,3647707,4417619600.6,0,ZEETELE
2000-01-27,EQ,1250.0,1268.5,1211.1,1209.0,1222.0,1221.1,1244.23,6740.55,542.6,3682939,4582426918.35,0,ZEETELE
2000-01-28,EQ,1211.05,1296.35,1202.8,1221.1,1288.1,1286.9,1264.27,6740.55,542.6,5400401,6827557715.4,0,ZEETELE
2000-01-31,EQ,1285.0,1294.9,1197.0,1286.9,1208.5,1213.1,1261.73,6740.55,542.6,4113157,5189690484.1,0,ZEETELE
2000-02-01,EQ,1220.0,1250.0,1213.1,1213.1,1230.0,1226.65,1232.4,6740.55,542.6,3722293,4587352755.8,0,ZEETELE
