date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,77.1,81.0,77.1,75.0,81.0,81.0,80.66,135.0,32.7,3000,241970.0,0,ZUARIAGRO
2000-01-04,EQ,84.0,84.0,75.0,81.0,75.0,76.8,79.01,135.0,32.7,8900,703160.0,0,ZUARIAGRO
2000-01-05,EQ,81.0,81.0,76.0,76.8,76.55,76.55,79.2,135.0,32.7,6600,522732.5,0,ZUARIAGRO
2000-01-06,EQ,77.25,79.75,76.0,76.55,76.0,76.6,78.59,135.0,32.7,6750,530487.5,0,ZUARIAGRO
2000-01-07,EQ,80.65,80.65,74.55,76.6,75.0,75.45,76.05,135.0,32.7,3150,239570.0,0,ZUARIAGRO
2000-01-10,EQ,77.0,78.85,74.5,75.45,75.9,75.6,76.94,135.0,32.7,5100,392372.5,0,ZUARIAGRO
2000-01-11,EQ,80.95,81.65,80.95,75.6,81.65,81.65,81.65,135.0,32.7,27950,2282047.5,0,ZUARIAGRO
2000-01-12,EQ,87.5,87.5,76.1,81.65,79.95,79.45,79.78,135.0,32.7,18450,1471927.5,0,ZUARIAGRO
2000-01-13,EQ,79.8,80.0,73.25,79.45,74.5,74.45,75.65,135.0,32.7,9400,711132.5,0,ZUARIAGRO
2000-01-14,EQ,75.25,75.5,68.5,74.45,68.5,68.5,71.08,135.0,32.7,13100,931190.0,0,ZUARIAGRO
2000-01-17,EQ,73.75,73.75,69.0,68.5,70.25,70.2,71.45,135.0,32.7,7000,500135.0,0,ZUARIAGRO
2000-01-18,EQ,66.05,70.0,66.05,70.2,69.0,68.45,68.4,135.0,32.7,6150,420682.5,0,ZUARIAGRO
2000-01-19,EQ,70.0,71.7,69.6,68.45,70.1,70.5,70.65,135.0,32.7,3750,264927.5,0,ZUARIAGRO
2000-01-20,EQ,71.7,73.55,69.65,70.5,70.0,69.95,70.88,135.0,32.7,5000,354380.0,0,ZUARIAGRO
2000-01-21,EQ,69.0,70.9,68.55,69.95,68.55,68.65,69.36,135.0,32.7,3700,256627.5,0,ZUARIAGRO
2000-01-24,EQ,70.0,70.0,65.0,68.65,66.0,65.15,66.76,135.0,32.7,10300,687582.5,0,ZUARIAGRO
2000-01-25,EQ,67.0,67.0,61.75,65.15,61.75,62.95,64.66,135.0,32.7,9550,617542.5,0,ZUARIAGRO
2000-01-27,EQ,63.1,63.1,58.0,62.95,58.0,58.4,60.54,135.0,32.7,226950,13738505.0,0,ZUARIAGRO
2000-01-28,EQ,62.0,62.0,56.0,58.4,57.0,57.0,58.02,135.0,32.7,15650,907952.5,0,ZUARIAGRO
2000-01-31,EQ,56.2,56.2,52.45,57.0,52.45,52.45,53.01,135.0,32.7,9950,527490.0,0,ZUARIAGRO
2000-02-01,EQ,56.5,56.5,48.25,52.45,48.25,48.25,49.04,135.0,32.7,11600,568835.0,0,ZUARIAGRO
